source_file,operator_ref,operator_name,line_name,line_description,price_id,amount_gbp
BLUS_4015_Inbound_AdultReturn_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196401917312852.xml,BLUS,Go South Coast,Go South Coast 4015 Inbound,Central Station - Hamble,price_band_4.2@AdultReturn,4.2
SWWD_3040_Outbound_ChildSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196391578171459.xml,SWWD,Go South Coast,Go South Coast 3040 Outbound,Salisbury - Woodfalls,price_band_2.3@ChildSingle,2.3
SWWD_3667_Inbound_ChildSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196400057771480.xml,SWWD,Go South Coast,Go South Coast 3667 Inbound,Wilton & Barford Primary Sch  - Fugglestone,price_band_1.0@ChildSingle,1.0
SVCT_5271_Outbound_ChildSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196405666261482.xml,SVCT,Go South Coast,Go South Coast 5271 Outbound,Ryde - Ventnor,price_band_1.8@ChildSingle,1.8
SWWD_3645_Inbound_AdultReturn_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196399766990389.xml,SWWD,Go South Coast,Go South Coast 3645 Inbound,Stratford Road Grammar School - Hamptworth Cuckoo,price_band_4.5@AdultReturn,4.5
SWWD_3881_Inbound_AdultSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196400567424373.xml,SWWD,Go South Coast,Go South Coast 3881 Inbound,Wilton Road  - Burgate School,price_band_2.1@AdultSingle,2.1
WDBC_1950_Inbound_AdultSingle_2f1f0c04-770d-4707-ab06-213c5a798ad7_639196383730198476.xml,WDBC,Go South Coast,Go South Coast 1950 Inbound,Bournemouth - Swanage,price_band_1.0@AdultSingle,1.0
SWWD_3885_Outbound_AdultSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196400790128512.xml,SWWD,Go South Coast,Go South Coast 3885 Outbound,Whaddon - Burgate School,price_band_2.6@AdultSingle,2.6
WDBC_1040_Outbound_ChildSingle_d46597a9-440e-4c13-b49a-76a3986683d1_639196375449463659.xml,WDBC,Go South Coast,Go South Coast 1040 Outbound,Swanage - Poole,price_band_3.0@ChildSingle,3.0
TDTR_7080_Outbound_YoungPersonSgl_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196408849535299.xml,TDTR,Go South Coast,Go South Coast 7080 Outbound,Swindon - Marlborough,price_band_1.4@YoungPersonSgl,1.4
SVCT_5127_Inbound_YoungAdSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196405417522843.xml,SVCT,Go South Coast,Go South Coast 5127 Inbound,Yarmouth - Newport,price_band_3.0@YoungAdSingle,3.0
WDBC_6943_Outbound_AdultSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196408006358807.xml,WDBC,Go South Coast,Go South Coast 6943 Outbound,Lulworth - Weymouth,price_band_2.7@AdultSingle,2.7
TDTR_7002_Outbound_YoungPersonSgl_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196408080506351.xml,TDTR,Go South Coast,Go South Coast 7002 Outbound,Fleming Way - Covingham & Nythe,price_band_1.8@YoungPersonSgl,1.8
WDBC_1831_Outbound_AdultReturn_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196381399406217.xml,WDBC,Go South Coast,Go South Coast 1831 Outbound,Bournemouth - Hunt Road and Somerford,price_band_4.7@AdultReturn,4.7
BLUS_4010_Inbound_ChildReturn_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196401646763758.xml,BLUS,Go South Coast,Go South Coast 4010 Inbound,Southampton - Sholing,price_band_2.6@ChildReturn,2.6
BLUS_4005_Inbound_ChildReturn_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196401203517379.xml,BLUS,Go South Coast,Go South Coast 4005 Inbound,Boyatt Wood - Romsey,price_band_4.0@ChildReturn,4.0
WDBC_1755_Outbound_AdultSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196379133464980.xml,WDBC,Go South Coast,Go South Coast 1755 Outbound,Bournemouth Station - Bournemouth School for Girls,price_band_3.1@AdultSingle,3.1
DAMY_6487_Inbound_AdultReturn_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196407086470118.xml,DAMY,Go South Coast,Go South Coast 6487 Inbound,Blandford - Dorchester,price_band_5.8@AdultReturn,5.8
TDTR_7053_Outbound_AdultSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196408599268833.xml,TDTR,Go South Coast,Go South Coast 7053 Outbound,Fleming Way - South Marston,price_band_3.0@AdultSingle,3.0
TDTR_3620_Outbound_AdultReturn_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196399616168175.xml,TDTR,Go South Coast,Go South Coast 3620 Outbound,Hungerford Priory  - St Johns Sch,price_band_4.0@AdultReturn,4.0
SVCT_5272_Outbound_YoungAdSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196405692051472.xml,SVCT,Go South Coast,Go South Coast 5272 Outbound,Ryde - Ventnor,price_band_2.4@YoungAdSingle,2.4
TDTR_3820_Inbound_AdultReturn_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196400540210961.xml,TDTR,Go South Coast,Go South Coast 3820 Inbound,Marlborough - Newbury,price_band_4.7@AdultReturn,4.7
WDBC_1040_Inbound_ChildSingle_2f1f0c04-770d-4707-ab06-213c5a798ad7_639196375060016169.xml,WDBC,Go South Coast,Go South Coast 1040 Inbound,Swanage - Poole,price_band_2.8@ChildSingle,2.8
WDBC_1016_Inbound_ChildSingle_2f1f0c04-770d-4707-ab06-213c5a798ad7_639196372211456079.xml,WDBC,Go South Coast,Go South Coast 1016 Inbound,Poole - Bournemouth,price_band_1.0@ChildSingle,1.0
SWWD_3126_Inbound_AdultSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196393140963144.xml,SWWD,Go South Coast,Go South Coast 3126 Inbound,Salisbury - Hindon,price_band_2.3@AdultSingle,2.3
SVCT_5009_Outbound_AdultSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196404181601035.xml,SVCT,Go South Coast,Go South Coast 5009 Outbound,Newport  - Ryde,price_band_3.0@AdultSingle,3.0
