name,rmse,mae,r2,model_efficiency
Linear Regression,178.46986905942313,120.85420196941084,0.5251717197419878,0.1080867619088853
Random Forest,184.19300881902547,114.22999081104238,0.49423001609542627,0.15505918819089073
Gradient Boosted Trees,144.410687027223,96.69725121071136,0.6891109431137796,0.04325726363056981
