operator_ref,route_number,pulled_at,recorded_at,vehicle_ref,latitude,longitude,bearing,avl_id,avl_time_of_day,source_file,service_ref,line_ref,journey_code,departure_time,days_of_week,stop_count,sched_time_of_day,time_diff,disruption_count,avg_disruption_duration,avg_fare_gbp
SVCT,7,2026-07-20T13:56:55.713+05:45,2026-07-20T19:41:45.000+05:45,1649,50.704725,-1.497778,,15018,50205,,,,,,,,,,14,157.28571428571428,3.074930362116992
WDBC,81,2026-07-20T14:21:16.548+05:45,2026-07-20T20:05:53.000+05:45,1818,50.745996,-1.80251,197,15020,51653,,,,,,,,,,9,116.66666666666667,3.1657190635451506
WDBC,16,2026-07-20T14:27:05.255+05:45,2026-07-20T20:11:45.000+05:45,1847,50.739712,-1.928307,108,15024,52005,,,,,,,,,,13,130.46153846153845,3.1657190635451506
BLUS,17,2026-07-20T14:22:39.327+05:45,2026-07-20T20:07:33.000+05:45,1563,50.908803,-1.406026,269,15025,51753,BODS_PH1121126_302_20260830_132.xml,PH1121126:302,BLUS:PH1121126:302:17,VJ368,2026-07-21T20:10:00.000+05:45,Saturday,50,51900,147,14,124.21428571428571,2.940955284552847
WDBC,m2,2026-07-20T14:06:36.625+05:45,2026-07-20T19:51:17.000+05:45,1779,50.72547,-1.843703,67,15031,50777,,,,,,,,,,15,108.66666666666667,3.1657190635451506
WDBC,m1,2026-07-20T14:21:32.985+05:45,2026-07-20T20:06:12.000+05:45,1733,50.727058,-1.865909,210,15034,51672,,,,,,,,,,13,138.6153846153846,3.1657190635451506
BLUS,PR1,2026-07-20T14:04:57.214+05:45,2026-07-19T20:30:43.000+05:45,1633,50.934522,-1.467276,,15037,53143,BODS_PH1121126_575_20260531_15.xml,PH1121126:575,BLUS:PH1121126:575:PR1,VJ123,2026-07-21T20:30:00.000+05:45,Saturday,2,53100,43,13,115.07692307692308,2.940955284552847
WDBC,50,2026-07-20T14:12:58.896+05:45,2026-07-20T19:57:47.000+05:45,1711,50.681801,-1.949236,16,15051,51167,,,,,,,,,,16,98.9375,3.1657190635451506
BLUS,9,2026-07-20T14:15:44.573+05:45,2026-07-20T20:00:09.000+05:45,2761,50.82363,-1.37506,10,15055,51309,BODS_PH1121126_198_20260412_111.xml,PH1121126:198,BLUS:PH1121126:198:9,VJ4,2026-07-21T20:10:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,41,51900,591,6,118.5,2.940955284552847
UNIL,U1A,2026-07-20T14:08:32.993+05:45,2026-07-20T19:53:11.000+05:45,1202,50.893482,-1.395096,,15058,50891,,,,,,,,,,12,150.58333333333334,1.630769230769231
SWWD,MHDRT,2026-07-20T14:07:43.066+05:45,2026-07-20T19:52:21.000+05:45,7925,51.416326,-1.51456,203,15076,50841,,,,,,,,,,8,123.25,3.5063780260707635
BLUS,2,2026-07-20T14:33:58.243+05:45,2026-07-20T20:18:48.000+05:45,1755,50.970035,-1.348742,91,15078,52428,BODS_PH1121126_203_20260601_118.xml,PH1121126:203,BLUS:PH1121126:203:2,VJ89,2026-07-21T20:20:00.000+05:45,Saturday,50,52500,72,7,93.0,2.940955284552847
SVCT,2,2026-07-20T14:03:34.279+05:45,2026-07-20T19:47:56.000+05:45,1616,50.639495,-1.176252,34,15080,50576,,,,,,,,,,14,157.0,3.074930362116992
WDBC,X6,2026-07-20T13:46:59.145+05:45,2026-07-20T19:31:25.000+05:45,1611,50.718099,-1.977985,,15082,49585,,,,,,,,,,7,133.0,3.1657190635451506
BLUS,1,2026-07-20T14:17:40.810+05:45,2026-07-20T20:02:34.000+05:45,1749,50.945376,-1.405665,8,15083,51454,BODS_PH1121126_204_20260718_122.xml,PH1121126:204,BLUS:PH1121126:204:1,VJ358,2026-07-21T20:05:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,47,51600,146,11,159.9090909090909,2.940955284552847
