operator_ref,route_number,pulled_at,recorded_at,vehicle_ref,latitude,longitude,bearing,avl_id,avl_time_of_day,source_file,service_ref,line_ref,journey_code,departure_time,days_of_week,stop_count,sched_time_of_day,time_diff,disruption_count,avg_disruption_duration,avg_fare_gbp
WDBC,C,2026-07-20T14:07:43.066+05:45,2026-07-20T13:06:28.000+05:45,1532,50.747141,-1.722489,,3,26488,,,,,,,,,,17,123.05882352941177,3.1657190635451506
BLUS,2,2026-07-20T13:50:18.082+05:45,2026-07-20T19:35:13.000+05:45,1758,50.968793,-1.350514,,7,49813,BODS_PH1121126_203_20260830_125.xml,PH1121126:203,BLUS:PH1121126:203:2,VJ280,2026-07-21T19:40:00.000+05:45,Saturday,61,50100,287,7,93.0,2.940955284552847
DAMY,CR9,2026-07-20T14:29:17.576+05:45,2026-07-20T19:59:12.000+05:45,1113,50.713685,-2.44828,,45,51252,,,,,,,,,,16,119.75,3.508187134502923
WDBC,14,2026-07-20T13:59:42.436+05:45,2026-07-20T19:44:15.000+05:45,1843,50.760139,-1.871917,199,47,50355,,,,,,,,,,9,119.33333333333333,3.1657190635451506
WDBC,17,2026-07-20T14:04:07.496+05:45,2026-07-20T19:48:45.000+05:45,1848,50.721015,-1.868156,51,51,50625,,,,,,,,,,14,137.14285714285714,3.1657190635451506
TDTR,1A,2026-07-20T14:07:59.661+05:45,2026-07-20T14:12:17.000+05:45,2777,51.562765,-1.784263,,53,30437,,,,,,,,,,9,106.55555555555556,3.189354473386184
WDBC,5,2026-07-20T14:01:54.707+05:45,2026-07-20T18:42:58.000+05:45,1631,50.718806,-1.875376,,56,46678,,,,,,,,,,9,145.22222222222223,3.1657190635451506
WDBC,81,2026-07-20T14:13:15.471+05:45,2026-07-20T19:10:01.000+05:45,1540,50.760682,-1.537336,,71,48301,,,,,,,,,,9,116.66666666666667,3.1657190635451506
TDTR,154,2026-07-20T13:51:40.890+05:45,2026-07-20T13:07:57.000+05:45,1274,51.529797,-1.7922,,74,26577,,,,,,,,,,11,104.72727272727273,3.189354473386184
BLUS,14,2026-07-20T14:06:19.989+05:45,2026-07-20T19:51:08.000+05:45,228,50.926032,-1.316632,103,77,50768,BODS_PH1121126_504_20260830_118.xml,PH1121126:504,BLUS:PH1121126:504:14,VJ121,2026-07-21T19:53:00.000+05:45,Sunday,43,50880,112,5,80.2,2.940955284552847
