operator_ref,route_number,pulled_at,recorded_at,vehicle_ref,latitude,longitude,bearing,avl_id,avl_time_of_day,source_file,service_ref,line_ref,journey_code,departure_time,days_of_week,stop_count,sched_time_of_day,time_diff,disruption_count,avg_disruption_duration,avg_fare_gbp
BLUS,17,2026-07-20T13:50:34.519+05:45,2026-07-20T19:35:12.000+05:45,1561,50.90083,-1.396143,,4,49812,BODS_PH1121126_302_20260601_125.xml,PH1121126:302,BLUS:PH1121126:302:17,VJ216,2026-07-21T19:32:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,53,49620,192,14,124.21428571428571,2.940955284552847
BLUS,538,2026-07-20T14:07:59.661+05:45,2026-07-20T12:46:47.000+05:45,1644,50.861019,-1.430722,,5,25307,BODS_PH1121126_243_20260718_111.xml,PH1121126:243,BLUS:PH1121126:243:538,VJ5,2026-07-21T15:10:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,17,33900,8593,15,128.6,2.940955284552847
TDTR,1,2026-07-20T14:18:14.016+05:45,2026-07-20T20:03:00.000+05:45,2780,51.557635,-1.82492,89,8,51480,,,,,,,,,,12,131.66666666666666,3.189354473386184
SWWD,PVDRT,2026-07-20T14:38:55.083+05:45,2026-07-20T20:23:21.000+05:45,7924,51.338679,-1.953793,258,15,52701,,,,,,,,,,11,130.36363636363637,3.5063780260707635
BLUS,17,2026-07-20T13:49:28.015+05:45,2026-07-20T19:33:53.000+05:45,1551,50.914448,-1.423331,,19,49733,BODS_PH1121126_302_20260601_125.xml,PH1121126:302,BLUS:PH1121126:302:17,VJ216,2026-07-21T19:32:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,53,49620,113,14,124.21428571428571,2.940955284552847
SWWD,650,2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:33.000+05:45,1324,51.068581,-1.791745,,23,51693,,,,,,,,,,13,94.92307692307692,3.5063780260707635
SWWD,X5,2026-07-20T14:15:11.585+05:45,2026-07-20T13:46:41.000+05:45,1136,51.172259,-1.778756,,25,28901,,,,,,,,,,11,153.9090909090909,3.5063780260707635
BLUS,17,2026-07-20T14:37:16.190+05:45,2026-07-20T20:22:10.000+05:45,1554,50.933941,-1.438999,79,31,52630,BODS_PH1121126_302_20260601_125.xml,PH1121126:302,BLUS:PH1121126:302:17,VJ2,2026-07-21T20:22:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,53,52620,10,14,124.21428571428571,2.940955284552847
WDBC,120,2026-07-20T14:15:11.585+05:45,2026-07-20T19:55:41.000+05:45,2751,50.786523,-1.609063,24,34,51041,,,,,,,,,,10,109.3,3.1657190635451506
SWWD,929,2026-07-20T14:25:08.856+05:45,2026-07-20T20:09:41.000+05:45,3835,51.030218,-1.931569,118,54,51881,,,,,,,,,,10,128.4,3.5063780260707635
SWWD,MHDRT,2026-07-20T13:53:20.555+05:45,2026-07-20T19:37:49.000+05:45,7923,51.412645,-1.694298,295,61,49969,,,,,,,,,,8,123.25,3.5063780260707635
WDBC,193,2026-07-20T13:50:01.209+05:45,2026-07-20T19:34:52.000+05:45,1547,50.751617,-1.654275,161,62,49792,,,,,,,,,,10,123.2,3.1657190635451506
SWWD,966,2026-07-20T14:11:35.844+05:45,2026-07-20T13:52:51.000+05:45,1575,51.082722,-1.77037,220,81,29271,,,,,,,,,,5,89.6,3.5063780260707635
WDBC,17,2026-07-20T13:52:47.237+05:45,2026-07-20T19:37:18.000+05:45,1193,50.736475,-1.923472,29,92,49938,,,,,,,,,,14,137.14285714285714,3.1657190635451506
SWWD,907,2026-07-20T14:06:36.625+05:45,2026-07-20T19:51:30.000+05:45,1599,50.989706,-1.757294,,117,50790,,,,,,,,,,14,140.78571428571428,3.5063780260707635
BLUS,17,2026-07-20T13:51:57.510+05:45,2026-07-20T19:36:49.000+05:45,1567,50.941801,-1.451006,,161,49909,BODS_PH1121126_302_20260601_125.xml,PH1121126:302,BLUS:PH1121126:302:17,VJ216,2026-07-21T19:32:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,53,49620,289,14,124.21428571428571,2.940955284552847
UNIL,U1A,2026-07-20T14:20:26.643+05:45,2026-07-20T20:04:58.000+05:45,1201,50.893476,-1.39518,,163,51598,,,,,,,,,,12,150.58333333333334,1.630769230769231
WDBC,m1,2026-07-20T14:35:20.469+05:45,2026-07-20T20:20:07.000+05:45,1729,50.736246,-1.865694,48,165,52507,,,,,,,,,,13,138.6153846153846,3.1657190635451506
WDBC,10,2026-07-20T14:19:53.443+05:45,2026-07-20T20:04:48.000+05:45,2713,50.740495,-2.03127,322,166,51588,,,,,,,,,,14,138.21428571428572,3.1657190635451506
UNIL,U6C,2026-07-20T13:50:51.121+05:45,2026-07-20T19:35:43.000+05:45,1224,50.939004,-1.406671,177,169,49843,,,,,,,,,,16,129.75,1.630769230769231
SWWD,66,2026-07-20T14:22:06.195+05:45,2026-07-20T20:07:00.000+05:45,1597,51.088126,-1.765629,12,178,51720,,,,,,,,,,7,83.28571428571429,3.5063780260707635
TDTR,1,2026-07-20T14:31:46.259+05:45,2026-07-20T20:16:15.000+05:45,2780,51.560503,-1.78047,356,182,52275,,,,,,,,,,12,131.66666666666666,3.189354473386184
SVCT,7,2026-07-20T14:09:22.773+05:45,2026-07-20T19:54:00.000+05:45,1652,50.701727,-1.419777,274,183,50940,,,,,,,,,,14,157.28571428571428,3.074930362116992
BLUS,5,2026-07-20T14:24:35.626+05:45,2026-07-20T17:16:08.000+05:45,269,50.970083,-1.351795,,184,41468,BODS_PH1121126_200_20260718_118.xml,PH1121126:200,BLUS:PH1121126:200:5,VJ93,2026-07-21T17:14:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,17,41340,128,11,145.8181818181818,2.940955284552847
WDBC,21,2026-07-20T14:29:01.106+05:45,2026-07-20T20:13:27.000+05:45,1688,50.727943,-1.866665,292,193,52107,,,,,,,,,,8,122.75,3.1657190635451506
SVCT,207,2026-07-20T13:53:20.555+05:45,2026-07-20T13:06:07.000+05:45,7847,50.710749,-1.282552,,206,26467,,,,,,,,,,10,104.6,3.074930362116992
WDBC,m2,2026-07-20T14:07:43.066+05:45,2026-07-20T19:52:25.000+05:45,1693,50.728317,-1.929969,94,216,50845,,,,,,,,,,15,108.66666666666667,3.1657190635451506
SWWD,ST,2026-07-20T14:05:13.655+05:45,2026-07-20T19:49:46.000+05:45,1323,51.070128,-1.805024,,223,50686,,,,,,,,,,10,126.3,3.5063780260707635
SWWD,R10,2026-07-20T14:06:19.989+05:45,2026-07-20T19:51:07.000+05:45,2707,51.068316,-1.796451,,229,50767,,,,,,,,,,10,123.7,3.5063780260707635
TDTR,17,2026-07-20T14:12:58.896+05:45,2026-07-20T19:57:33.000+05:45,523,51.559759,-1.771776,246,230,51153,,,,,,,,,,5,126.0,3.189354473386184
WDBC,m2,2026-07-20T14:14:38.419+05:45,2026-07-20T19:59:36.000+05:45,1780,50.72514,-1.844933,256,252,51276,,,,,,,,,,15,108.66666666666667,3.1657190635451506
BLUS,2,2026-07-20T13:54:59.654+05:45,2026-07-20T19:39:46.000+05:45,1755,50.915633,-1.402726,346,260,50086,BODS_PH1121126_203_20260830_125.xml,PH1121126:203,BLUS:PH1121126:203:2,VJ280,2026-07-21T19:40:00.000+05:45,Saturday,61,50100,14,7,93.0,2.940955284552847
WDBC,81,2026-07-20T14:06:36.625+05:45,2026-07-20T19:51:26.000+05:45,1819,50.718413,-1.872528,164,276,50786,,,,,,,,,,9,116.66666666666667,3.1657190635451506
SVCT,8,2026-07-20T14:12:08.896+05:45,2026-07-20T19:57:04.000+05:45,1342,50.69409,-1.091405,89,286,51124,,,,,,,,,,9,86.11111111111111,3.074930362116992
WDBC,1A,2026-07-20T14:27:54.899+05:45,2026-07-20T20:12:45.000+05:45,274,50.727178,-1.841661,345,291,52065,,,,,,,,,,13,123.84615384615384,3.1657190635451506
SVCT,1,2026-07-20T14:10:45.897+05:45,2026-07-20T19:55:28.000+05:45,1316,50.745059,-1.306808,198,294,51028,,,,,,,,,,13,104.84615384615384,3.074930362116992
SVCT,6,2026-07-20T13:56:38.969+05:45,2026-07-20T19:41:25.000+05:45,1519,50.666393,-1.300556,330,296,50185,,,,,,,,,,12,115.41666666666667,3.074930362116992
WDBC,7A,2026-07-20T14:14:05.213+05:45,2026-07-20T19:58:56.000+05:45,3827,50.728707,-1.936606,92,301,51236,,,,,,,,,,12,125.66666666666667,3.1657190635451506
WDBC,12,2026-07-20T14:02:27.965+05:45,2026-07-20T19:46:57.000+05:45,1689,50.732151,-1.874217,,303,50517,,,,,,,,,,6,84.0,3.1657190635451506
BLUS,14,2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:33.000+05:45,255,50.933549,-1.351572,108,315,51693,BODS_PH1121126_504_20260830_118.xml,PH1121126:504,BLUS:PH1121126:504:14,VJ128,2026-07-21T20:02:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,43,51420,273,5,80.2,2.940955284552847
BLUS,24,2026-07-20T13:57:12.297+05:45,2026-07-20T19:22:41.000+05:45,1270,50.969557,-1.351929,16,334,49061,BODS_PH1121126_529_20260830_83.xml,PH1121126:529,BLUS:PH1121126:529:24,VJ42,2026-07-21T18:25:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,41,45600,3461,5,115.4,2.940955284552847
WDBC,U3,2026-07-20T14:11:52.408+05:45,2026-07-20T19:56:27.000+05:45,1699,50.735855,-1.855553,36,353,51087,,,,,,,,,,12,144.83333333333334,3.1657190635451506
WDBC,13A,2026-07-20T14:25:08.856+05:45,2026-07-20T20:09:56.000+05:45,1628,50.808545,-1.89294,260,365,51896,,,,,,,,,,18,115.44444444444444,3.1657190635451506
WDBC,X3,2026-07-20T14:18:30.473+05:45,2026-07-20T20:03:10.000+05:45,1786,50.758702,-1.81443,23,376,51490,,,,,,,,,,18,120.11111111111111,3.1657190635451506
WDBC,X6,2026-07-20T13:47:15.639+05:45,2026-07-20T19:31:52.000+05:45,1535,50.846276,-1.798981,245,382,49612,,,,,,,,,,7,133.0,3.1657190635451506
WDBC,25,2026-07-20T14:08:16.251+05:45,2026-07-20T19:52:54.000+05:45,2275,50.751004,-1.968294,,391,50874,,,,,,,,,,10,138.6,3.1657190635451506
UNIL,U1C,2026-07-20T14:36:09.915+05:45,2026-07-20T20:20:46.000+05:45,1208,50.934682,-1.40646,178,411,52546,,,,,,,,,,20,114.0,1.630769230769231
WDBC,26,2026-07-20T14:07:26.381+05:45,2026-07-20T19:52:08.000+05:45,2252,50.729294,-1.976218,183,419,50828,,,,,,,,,,15,113.53333333333333,3.1657190635451506
WDBC,125,2026-07-20T14:11:02.586+05:45,2026-07-20T19:25:03.000+05:45,2710,50.847015,-1.791925,,428,49203,,,,,,,,,,16,125.75,3.1657190635451506
SWWD,R5,2026-07-20T14:17:07.690+05:45,2026-07-20T19:11:31.000+05:45,2726,51.068562,-1.794445,,433,48391,,,,,,,,,,12,139.25,3.5063780260707635
TDTR,R26,2026-07-20T14:19:20.193+05:45,2026-07-20T20:03:45.000+05:45,1276,51.527785,-1.791361,158,443,51525,,,,,,,,,,11,142.8181818181818,3.189354473386184
WDBC,m2,2026-07-20T14:29:50.987+05:45,2026-07-20T18:45:30.000+05:45,2281,50.725397,-1.957151,214,451,46830,,,,,,,,,,15,108.66666666666667,3.1657190635451506
BLUS,1,2026-07-20T13:51:57.510+05:45,2026-07-20T19:36:47.000+05:45,1814,50.913664,-1.402321,16,468,49907,BODS_PH1121126_204_20260830_124.xml,PH1121126:204,BLUS:PH1121126:204:1,VJ366,2026-07-21T19:40:00.000+05:45,Sunday,47,50100,193,11,159.9090909090909,2.940955284552847
SWWD,X4,2026-07-20T14:23:29.130+05:45,2026-07-20T20:08:06.000+05:45,1337,51.195896,-1.816185,,476,51786,,,,,,,,,,16,139.125,3.5063780260707635
SVCT,22,2026-07-20T14:35:04.009+05:45,2026-07-20T18:11:45.000+05:45,3803,50.670504,-1.210199,329,478,44805,,,,,,,,,,11,157.36363636363637,3.074930362116992
WDBC,6,2026-07-20T13:49:11.301+05:45,2026-07-20T19:34:09.000+05:45,2280,50.763637,-1.928694,101,482,49749,,,,,,,,,,9,124.11111111111111,3.1657190635451506
WDBC,86,2026-07-20T14:07:43.066+05:45,2026-07-20T19:52:29.000+05:45,1643,50.89251,-1.522441,237,509,50849,,,,,,,,,,10,92.5,3.1657190635451506
SWWD,X4,2026-07-20T14:15:28.101+05:45,2026-07-20T12:05:52.000+05:45,1574,51.194919,-1.819004,,512,22852,,,,,,,,,,16,139.125,3.5063780260707635
BLUS,18,2026-07-20T14:19:36.738+05:45,2026-07-20T20:04:15.000+05:45,1564,50.905892,-1.406506,349,516,51555,BODS_PH1121126_195_20260718_122.xml,PH1121126:195,BLUS:PH1121126:195:18,VJ128,2026-07-21T20:07:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,55,51720,165,10,138.6,2.940955284552847
SVCT,1,2026-07-20T14:39:11.719+05:45,2026-07-20T20:23:56.000+05:45,1653,50.707142,-1.300488,145,522,52736,,,,,,,,,,13,104.84615384615384,3.074930362116992
SWWD,R5,2026-07-20T14:24:35.626+05:45,2026-07-20T19:11:31.000+05:45,2726,51.068562,-1.794445,,525,48391,,,,,,,,,,12,139.25,3.5063780260707635
SQ,TW2,2026-07-20T14:19:03.545+05:45,2026-07-20T19:44:30.000+05:45,9502,50.732901,-1.159578,,527,50370,,,,,,,,,,11,106.9090909090909,
DAMY,CR9,2026-07-20T14:26:15.428+05:45,2026-07-20T14:29:56.000+05:45,1507,50.850086,-2.160565,,532,31496,,,,,,,,,,16,119.75,3.508187134502923
BLUS,8,2026-07-20T13:58:18.490+05:45,2026-07-20T19:42:56.000+05:45,1607,50.859203,-1.409577,158,548,50276,BODS_PH1121126_199_20260718_116.xml,PH1121126:199,BLUS:PH1121126:199:8,VJ65,2026-07-21T19:35:00.000+05:45,Saturday,34,49800,476,15,126.06666666666666,2.940955284552847
SWWD,X4,2026-07-20T14:34:47.568+05:45,2026-07-20T20:19:33.000+05:45,1326,51.155306,-1.77512,37,549,52473,,,,,,,,,,16,139.125,3.5063780260707635
WDBC,m1,2026-07-20T14:15:28.101+05:45,2026-07-20T20:00:00.000+05:45,1771,50.724688,-1.965494,127,553,51300,,,,,,,,,,13,138.6153846153846,3.1657190635451506
BLUS,14,2026-07-20T13:51:07.853+05:45,2026-07-20T19:35:41.000+05:45,259,50.924449,-1.312461,33,556,49841,BODS_PH1121126_504_20260830_118.xml,PH1121126:504,BLUS:PH1121126:504:14,VJ38,2026-07-21T19:30:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,31,49500,341,5,80.2,2.940955284552847
SWWD,PR3,2026-07-20T14:28:11.478+05:45,2026-07-20T20:12:55.000+05:45,1503,51.068855,-1.798881,,571,52075,,,,,,,,,,11,94.9090909090909,3.5063780260707635
SVCT,214,2026-07-20T13:48:38.078+05:45,2026-07-20T12:53:37.000+05:45,1513,50.599896,-1.219118,300,579,25717,,,,,,,,,,14,105.07142857142857,3.074930362116992
SWWD,TPDRT,2026-07-20T13:57:12.297+05:45,2026-07-20T19:42:01.000+05:45,7930,51.304708,-1.721035,310,592,50221,,,,,,,,,,9,119.11111111111111,3.5063780260707635
WDBC,m2,2026-07-20T14:29:50.987+05:45,2026-07-20T20:14:26.000+05:45,1783,50.730959,-1.824511,95,593,52166,,,,,,,,,,15,108.66666666666667,3.1657190635451506
BLUS,16,2026-07-20T14:37:32.762+05:45,2026-07-20T20:22:22.000+05:45,1568,50.921133,-1.357078,320,598,52642,BODS_PH1121126_196_20260830_125.xml,PH1121126:196,BLUS:PH1121126:196:16,VJ131,2026-07-21T20:24:00.000+05:45,Saturday,43,52740,98,9,118.0,2.940955284552847
TDTR,22,2026-07-20T13:48:05.283+05:45,2026-07-20T19:32:53.000+05:45,279,51.557045,-1.778998,340,618,49673,,,,,,,,,,9,127.11111111111111,3.189354473386184
WDBC,13A,2026-07-20T13:50:51.121+05:45,2026-07-20T19:35:15.000+05:45,1685,50.805307,-1.918146,76,635,49815,,,,,,,,,,18,115.44444444444444,3.1657190635451506
SWWD,X4,2026-07-20T13:48:21.594+05:45,2026-07-20T13:29:00.000+05:45,1506,51.070061,-1.806363,,650,27840,,,,,,,,,,16,139.125,3.5063780260707635
