operator_ref,route_number,pulled_at,recorded_at,vehicle_ref,latitude,longitude,bearing,avl_id,avl_time_of_day,source_file,service_ref,line_ref,journey_code,departure_time,days_of_week,stop_count,sched_time_of_day,time_diff,disruption_count,avg_disruption_duration,avg_fare_gbp
SVCT,212,2026-07-20T13:53:53.476+05:45,2026-07-20T13:08:57.000+05:45,7837,50.657524,-1.166246,,14,26637,,,,,,,,,,10,143.3,3.074930362116992
WDBC,26,2026-07-20T14:36:43.121+05:45,2026-07-20T20:21:15.000+05:45,2257,50.741212,-1.96789,248,17,52575,,,,,,,,,,15,113.53333333333333,3.1657190635451506
BLUS,504,2026-07-20T14:31:29.596+05:45,2026-07-20T20:15:51.000+05:45,1250,50.940924,-1.457254,151,27,52251,BODS_PH1121126_468_20260830_112.xml,PH1121126:468,BLUS:PH1121126:468:504,VJ2,2026-07-21T15:20:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,11,34500,17751,12,163.5,2.940955284552847
WDBC,60,2026-07-20T13:54:43.105+05:45,2026-07-20T19:39:27.000+05:45,1822,50.721029,-1.956547,123,35,50067,,,,,,,,,,7,106.0,3.1657190635451506
WDBC,33,2026-07-20T13:58:01.936+05:45,2026-07-20T19:42:25.000+05:45,2283,50.735701,-1.844175,231,50,50245,,,,,,,,,,7,126.42857142857143,3.1657190635451506
BLUS,17,2026-07-20T14:24:02.310+05:45,2026-07-20T19:28:31.000+05:45,1559,50.903329,-1.405749,,55,49411,BODS_PH1121126_302_20260830_132.xml,PH1121126:302,BLUS:PH1121126:302:17,VJ352,2026-07-21T19:30:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,50,49500,89,14,124.21428571428571,2.940955284552847
WDBC,13,2026-07-20T14:35:36.893+05:45,2026-07-20T20:14:54.000+05:45,1697,50.800006,-1.988161,,63,52194,,,,,,,,,,9,148.33333333333334,3.1657190635451506
WDBC,32,2026-07-20T14:07:26.381+05:45,2026-07-20T19:52:10.000+05:45,1194,50.782964,-1.963179,181,79,50830,,,,,,,,,,14,110.28571428571429,3.1657190635451506
SVCT,1,2026-07-20T14:10:12.575+05:45,2026-07-20T17:16:53.000+05:45,1617,50.76219,-1.29852,,84,41513,,,,,,,,,,13,104.84615384615384,3.074930362116992
WDBC,1A,2026-07-20T14:25:42.139+05:45,2026-07-20T20:10:26.000+05:45,248,50.719425,-1.876388,,94,51926,,,,,,,,,,13,123.84615384615384,3.1657190635451506
TDTR,14,2026-07-20T13:50:51.121+05:45,2026-07-20T19:35:23.000+05:45,2702,51.549691,-1.756963,151,100,49823,,,,,,,,,,8,118.5,3.189354473386184
