operator_ref,route_number,pulled_at,recorded_at,vehicle_ref,latitude,longitude,bearing,avl_id,avl_time_of_day,source_file,service_ref,line_ref,journey_code,departure_time,days_of_week,stop_count,sched_time_of_day,time_diff,disruption_count,avg_disruption_duration,avg_fare_gbp
WDBC,12,2026-07-20T14:25:42.139+05:45,2026-07-20T20:10:20.000+05:45,1689,50.721457,-1.86736,49,13,51920,,,,,,,,,,6,84.0,3.1657190635451506
WDBC,36,2026-07-20T14:29:34.233+05:45,2026-07-20T20:14:11.000+05:45,108,50.768092,-1.912506,208,20,52151,,,,,,,,,,10,134.4,3.1657190635451506
BLUS,3,2026-07-20T14:15:44.573+05:45,2026-07-20T20:00:20.000+05:45,2747,50.969701,-1.336734,296,21,51320,BODS_PH1121126_202_20260601_129.xml,PH1121126:202,BLUS:PH1121126:202:3,VJ28,2026-07-21T20:10:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,70,51900,580,10,127.2,2.940955284552847
WDBC,13,2026-07-20T14:22:22.800+05:45,2026-07-20T20:07:09.000+05:45,1697,50.797916,-1.971336,260,39,51729,,,,,,,,,,9,148.33333333333334,3.1657190635451506
UNIL,U1C,2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:30.000+05:45,1220,50.893521,-1.394902,171,41,51690,,,,,,,,,,20,114.0,1.630769230769231
DAMY,949,2026-07-20T13:53:20.555+05:45,2026-07-20T19:38:08.000+05:45,3817,50.941511,-1.851732,,52,49988,,,,,,,,,,12,179.83333333333334,3.508187134502923
SWWD,X4,2026-07-20T13:52:30.529+05:45,2026-07-20T19:37:16.000+05:45,1334,51.195485,-1.783055,96,58,49936,,,,,,,,,,16,139.125,3.5063780260707635
BLUS,19,2026-07-20T14:20:10.021+05:45,2026-07-20T17:21:28.000+05:45,1570,50.902597,-1.405587,,70,41788,BODS_PH1121126_506_20260830_118.xml,PH1121126:506,BLUS:PH1121126:506:19,VJ51,2026-07-21T17:20:00.000+05:45,Sunday,51,41700,88,18,149.22222222222223,2.940955284552847
DAMY,X8,2026-07-20T14:31:46.259+05:45,2026-07-20T20:16:19.000+05:45,1782,50.855876,-2.166127,,96,52279,,,,,,,,,,12,103.41666666666667,3.508187134502923
SVCT,37,2026-07-20T14:04:24.068+05:45,2026-07-20T19:49:09.000+05:45,1308,50.732641,-1.159411,119,97,50649,,,,,,,,,,11,113.36363636363636,3.074930362116992
WDBC,50,2026-07-20T14:34:31.127+05:45,2026-07-20T17:47:04.000+05:45,1409,50.6099,-1.962524,,98,43324,,,,,,,,,,16,98.9375,3.1657190635451506
WDBC,4,2026-07-20T13:50:34.519+05:45,2026-07-20T19:35:19.000+05:45,2262,50.738377,-1.992234,73,112,49819,,,,,,,,,,12,159.08333333333334,3.1657190635451506
BLUS,634,2026-07-20T13:59:08.306+05:45,2026-07-20T13:20:12.000+05:45,403,50.994095,-1.500459,220,113,27312,BODS_PH1121126_183_20260830_131.xml,PH1121126:183,BLUS:PH1121126:183:634,VJ2,2026-07-21T15:05:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,29,33600,6288,3,157.66666666666666,2.940955284552847
BLUS,10,2026-07-20T14:25:25.565+05:45,2026-07-20T12:40:36.000+05:45,2752,50.903856,-1.402659,,123,24936,BODS_PH1121126_502_20260328_107.xml,PH1121126:502,BLUS:PH1121126:502:10,VJ28,2026-07-21T12:37:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,36,24720,216,15,124.53333333333333,2.940955284552847
WDBC,81,2026-07-20T13:58:35.059+05:45,2026-07-20T19:43:09.000+05:45,1623,50.752247,-1.65471,161,124,50289,,,,,,,,,,9,116.66666666666667,3.1657190635451506
SWWD,PR11,2026-07-20T14:13:32.051+05:45,2026-07-20T19:58:04.000+05:45,2722,51.082181,-1.801498,322,126,51184,,,,,,,,,,16,124.375,3.5063780260707635
WDBC,18,2026-07-20T13:59:42.436+05:45,2026-07-20T19:44:25.000+05:45,2274,50.74991,-1.960691,105,127,50365,,,,,,,,,,13,142.6153846153846,3.1657190635451506
SVCT,9,2026-07-20T14:12:58.896+05:45,2026-07-20T19:57:53.000+05:45,1312,50.703369,-1.26625,210,133,51173,,,,,,,,,,4,125.75,3.074930362116992
TDTR,5,2026-07-20T13:53:37.033+05:45,2026-07-20T19:38:02.000+05:45,2782,51.562572,-1.781088,,134,49982,,,,,,,,,,13,153.76923076923077,3.189354473386184
SWWD,X4,2026-07-20T13:48:05.283+05:45,2026-07-20T19:32:57.000+05:45,1337,51.176457,-1.773684,82,135,49677,,,,,,,,,,16,139.125,3.5063780260707635
SWWD,R5,2026-07-20T14:32:02.837+05:45,2026-07-20T20:16:36.000+05:45,903,51.066881,-1.793621,348,144,52296,,,,,,,,,,12,139.25,3.5063780260707635
TDTR,1A,2026-07-20T14:10:12.575+05:45,2026-07-20T19:54:58.000+05:45,2783,51.538951,-1.727814,,146,50998,,,,,,,,,,9,106.55555555555556,3.189354473386184
BLUS,18,2026-07-20T14:38:05.833+05:45,2026-07-20T20:22:43.000+05:45,1265,50.90563,-1.406468,349,155,52663,BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,VJ129,2026-07-21T20:27:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,54,52920,257,10,138.6,2.940955284552847
WDBC,11,2026-07-20T14:15:44.573+05:45,2026-07-20T20:00:15.000+05:45,1593,50.768937,-1.913163,273,167,51315,,,,,,,,,,8,146.625,3.1657190635451506
TDTR,5,2026-07-20T13:48:21.594+05:45,2026-07-20T19:33:10.000+05:45,1663,51.562517,-1.783528,,179,49690,,,,,,,,,,13,153.76923076923077,3.189354473386184
