operator_ref,route_number,pulled_at,recorded_at,vehicle_ref,latitude,longitude,bearing,avl_id,avl_time_of_day,source_file,service_ref,line_ref,journey_code,departure_time,days_of_week,stop_count,sched_time_of_day,time_diff,disruption_count,avg_disruption_duration,avg_fare_gbp
WDBC,81,2026-07-20T14:30:07.401+05:45,2026-07-20T20:14:59.000+05:45,1533,50.748357,-1.651969,144,2,52199,,,,,,,,,,9,116.66666666666667,3.1657190635451506
WDBC,NFB,2026-07-20T14:24:19.018+05:45,2026-07-20T20:08:54.000+05:45,1827,50.809202,-1.716176,185,12,51834,,,,,,,,,,15,179.93333333333334,3.1657190635451506
SWWD,MHDRT,2026-07-20T14:02:27.965+05:45,2026-07-20T19:47:14.000+05:45,7923,51.420094,-1.718228,289,26,50534,,,,,,,,,,8,123.25,3.5063780260707635
SWWD,937,2026-07-20T14:11:19.294+05:45,2026-07-20T19:56:04.000+05:45,158,51.07994,-1.771733,,28,51064,,,,,,,,,,16,134.9375,3.5063780260707635
BLUS,11,2026-07-20T14:07:26.381+05:45,2026-07-20T19:52:17.000+05:45,2757,50.908332,-1.412789,180,29,50837,BODS_PH1121126_197_20260412_110.xml,PH1121126:197,BLUS:PH1121126:197:11,VJ138,2026-07-21T19:55:00.000+05:45,Saturday,20,51000,163,8,126.5,2.940955284552847
TDTR,5,2026-07-20T14:09:56.012+05:45,2026-07-20T19:54:40.000+05:45,1660,51.582465,-1.803718,77,30,50980,,,,,,,,,,13,153.76923076923077,3.189354473386184
SVCT,205,2026-07-20T13:54:26.649+05:45,2026-07-20T19:39:07.000+05:45,7843,50.696604,-1.312987,,33,50047,,,,,,,,,,11,182.0,3.074930362116992
TDTR,5,2026-07-20T13:52:47.237+05:45,2026-07-20T19:37:22.000+05:45,522,51.596274,-1.805976,159,42,49942,,,,,,,,,,13,153.76923076923077,3.189354473386184
SVCT,2,2026-07-20T13:58:51.599+05:45,2026-07-20T19:43:40.000+05:45,1620,50.685197,-1.288804,181,48,50320,,,,,,,,,,14,157.0,3.074930362116992
TDTR,1B,2026-07-20T13:46:26.014+05:45,2026-07-20T19:31:13.000+05:45,275,51.578184,-1.828391,209,67,49573,,,,,,,,,,8,116.0,3.189354473386184
SVCT,7,2026-07-20T14:29:01.106+05:45,2026-07-20T20:13:52.000+05:45,1651,50.689014,-1.34431,262,73,52132,,,,,,,,,,14,157.28571428571428,3.074930362116992
WDBC,11,2026-07-20T13:58:51.599+05:45,2026-07-20T19:43:27.000+05:45,1688,50.719533,-1.871053,223,88,50307,,,,,,,,,,8,146.625,3.1657190635451506
BLUS,17,2026-07-20T14:22:22.800+05:45,2026-07-20T20:07:14.000+05:45,1554,50.915987,-1.425276,,91,51734,BODS_PH1121126_302_20260830_132.xml,PH1121126:302,BLUS:PH1121126:302:17,VJ368,2026-07-21T20:10:00.000+05:45,Saturday,50,51900,166,14,124.21428571428571,2.940955284552847
UNIL,U1C,2026-07-20T14:00:32.028+05:45,2026-07-20T00:40:57.000+05:45,1227,50.896139,-1.403121,,93,68157,,,,,,,,,,20,114.0,1.630769230769231
TDTR,17,2026-07-20T13:55:49.329+05:45,2026-07-20T19:40:21.000+05:45,520,51.559613,-1.771234,195,107,50121,,,,,,,,,,5,126.0,3.189354473386184
WDBC,21,2026-07-20T13:47:32.244+05:45,2026-07-20T19:32:17.000+05:45,240,50.75951,-1.914961,215,151,49637,,,,,,,,,,8,122.75,3.1657190635451506
WDBC,8,2026-07-20T13:56:55.713+05:45,2026-07-20T19:41:33.000+05:45,2265,50.726262,-2.020773,,152,50193,,,,,,,,,,11,137.1818181818182,3.1657190635451506
TDTR,17,2026-07-20T13:49:44.693+05:45,2026-07-20T19:34:34.000+05:45,515,51.55683,-1.773522,294,156,49774,,,,,,,,,,5,126.0,3.189354473386184
