pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T13:46:26.014+05:45,2026-07-19T21:56:13.000+05:45,1603,19,BLUS,50.941885,-1.4502,
2026-07-20T14:09:39.353+05:45,2026-07-20T19:54:22.000+05:45,11,908,SWWD,50.98969,-1.75716,
2026-07-20T14:38:05.833+05:45,2026-07-20T13:26:39.000+05:45,1610,X6,WDBC,50.810709,-1.875654,
2026-07-20T14:08:49.468+05:45,2026-07-20T19:53:34.000+05:45,2259,4,WDBC,50.754012,-1.997672,172
2026-07-20T14:24:52.252+05:45,2026-07-20T20:09:41.000+05:45,524,13,TDTR,51.551356,-1.758515,337
2026-07-20T14:35:53.342+05:45,2026-07-20T20:20:33.000+05:45,280,1A,TDTR,51.557158,-1.759309,148
2026-07-20T14:31:13.123+05:45,2026-07-20T20:16:02.000+05:45,151,603,SWWD,51.086681,-1.871067,344
2026-07-20T14:16:51.137+05:45,2026-07-20T20:01:23.000+05:45,259,14,BLUS,50.911431,-1.388189,193
2026-07-20T13:49:44.693+05:45,2026-07-20T19:34:08.000+05:45,2707,R5,SWWD,51.063425,-1.809867,105
2026-07-20T14:25:58.742+05:45,2026-07-20T20:10:37.000+05:45,7843,205,SVCT,50.69314,-1.307217,
2026-07-20T14:14:21.842+05:45,2026-07-20T19:59:12.000+05:45,1113,CR9,DAMY,50.713685,-2.44828,
2026-07-20T14:20:59.984+05:45,2026-07-20T19:03:38.000+05:45,1140,152,TDTR,51.567447,-1.811171,
2026-07-20T14:28:44.394+05:45,2026-07-20T20:13:09.000+05:45,1553,PRH,BLUS,50.938803,-1.456616,32
2026-07-20T14:23:12.551+05:45,2026-07-20T20:07:46.000+05:45,151,603,SWWD,51.075504,-1.873506,
2026-07-20T14:33:25.124+05:45,2026-07-20T20:18:13.000+05:45,1579,978,SWWD,51.10513,-1.795427,23
2026-07-20T14:09:56.012+05:45,2026-07-20T19:54:33.000+05:45,1782,X8,DAMY,50.78591,-2.072567,354
2026-07-20T14:25:25.565+05:45,2026-07-20T20:09:52.000+05:45,1110,40,WDBC,50.717987,-1.978381,
2026-07-20T14:24:19.018+05:45,2026-07-20T19:23:09.000+05:45,3818,RG2,WDBC,50.846149,-1.796919,
2026-07-20T14:10:29.194+05:45,2026-07-20T19:55:10.000+05:45,1791,X3,WDBC,50.873767,-1.791949,354
2026-07-20T14:17:24.217+05:45,2026-07-20T16:03:07.000+05:45,245,6,WDBC,50.781369,-1.955091,
2026-07-20T14:33:25.124+05:45,2026-07-20T20:18:11.000+05:45,1778,m2,WDBC,50.728552,-1.933787,275
2026-07-20T14:33:41.663+05:45,2026-07-20T19:59:12.000+05:45,1113,CR9,DAMY,50.713685,-2.44828,
2026-07-20T13:55:16.179+05:45,2026-07-20T19:39:54.000+05:45,243,12,WDBC,50.722235,-1.866223,24
2026-07-20T13:56:05.977+05:45,2026-07-20T19:37:05.000+05:45,3835,R14,SWWD,51.055247,-1.807559,
2026-07-20T13:59:08.306+05:45,2026-07-20T18:37:01.000+05:45,1518,3,SVCT,50.698143,-1.294556,
2026-07-20T14:36:09.915+05:45,2026-07-20T20:20:55.000+05:45,1543,663,SWWD,51.088368,-1.827641,255
2026-07-20T13:51:57.510+05:45,2026-07-20T19:36:34.000+05:45,1622,3,SVCT,50.709742,-1.146065,3
2026-07-20T13:51:24.315+05:45,2026-07-20T19:35:56.000+05:45,1245,18,BLUS,50.905036,-1.402435,87
2026-07-20T14:17:57.544+05:45,2026-07-20T20:02:26.000+05:45,1678,8,SWWD,51.192823,-1.75101,57
2026-07-20T14:05:13.655+05:45,2026-07-20T19:49:57.000+05:45,1552,17,BLUS,50.939313,-1.442017,73
2026-07-20T14:34:31.127+05:45,2026-07-20T20:19:26.000+05:45,1607,8,BLUS,50.890173,-1.451575,75
2026-07-20T14:38:05.833+05:45,2026-07-20T20:22:47.000+05:45,1000,X4,SWWD,51.070229,-1.805292,
