pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T14:28:11.478+05:45,2026-07-20T20:12:31.000+05:45,1650,7,SVCT,50.668137,-1.564324,77
2026-07-20T13:51:07.853+05:45,2026-07-20T19:35:44.000+05:45,1737,5,WDBC,50.745312,-1.87822,6
2026-07-20T14:28:11.478+05:45,2026-07-20T19:58:07.000+05:45,1813,1,BLUS,50.903134,-1.403295,
2026-07-20T13:53:53.476+05:45,2026-07-20T19:38:45.000+05:45,1201,U1C,UNIL,50.927079,-1.391156,
2026-07-20T14:25:25.565+05:45,2026-07-20T19:48:40.000+05:45,2286,38,WDBC,50.847042,-1.791722,
2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:33.000+05:45,1513,211,SVCT,50.714816,-1.118698,174
2026-07-20T14:35:36.893+05:45,2026-07-20T20:20:19.000+05:45,1682,8,SWWD,51.173971,-1.779237,
2026-07-20T14:22:39.327+05:45,2026-07-20T20:07:36.000+05:45,7925,MHDRT,SWWD,51.356607,-1.575122,232
2026-07-20T14:10:45.897+05:45,2026-07-20T19:55:31.000+05:45,1317,1,SVCT,50.755209,-1.31414,
2026-07-20T14:12:42.220+05:45,2026-07-20T19:57:23.000+05:45,1508,31,WDBC,50.684896,-2.217818,
2026-07-20T13:59:08.306+05:45,2026-07-20T19:43:46.000+05:45,255,14,BLUS,50.905628,-1.406432,
2026-07-20T13:56:22.403+05:45,2026-07-20T19:40:47.000+05:45,1573,80,TDTR,51.55718,-1.759323,147
2026-07-20T14:23:12.551+05:45,2026-07-20T20:07:58.000+05:45,234,1A,WDBC,50.741548,-1.797191,297
2026-07-20T14:00:48.742+05:45,2026-07-19T22:36:21.000+05:45,1402,SL,SVCT,50.698078,-1.294553,
2026-07-20T14:13:32.051+05:45,2026-07-20T19:58:14.000+05:45,1684,13,WDBC,50.806312,-1.910118,79
2026-07-20T14:24:52.252+05:45,2026-07-20T20:09:28.000+05:45,1992,TNB,SVCT,50.705426,-1.500874,
2026-07-20T13:53:53.476+05:45,2026-07-20T17:19:56.000+05:45,1209,U1C,UNIL,50.90092,-1.404667,
2026-07-20T14:33:41.663+05:45,2026-07-20T20:18:32.000+05:45,109,36,WDBC,50.725075,-1.899046,126
2026-07-20T14:13:32.051+05:45,2026-07-20T19:58:28.000+05:45,2736,2,TDTR,51.564531,-1.73248,292
2026-07-20T14:19:36.738+05:45,2026-07-20T20:04:11.000+05:45,2736,2,TDTR,51.568107,-1.748456,216
2026-07-20T14:07:09.895+05:45,2026-07-20T19:51:55.000+05:45,2747,3,BLUS,50.954473,-1.294734,356
2026-07-20T14:06:53.175+05:45,2026-07-20T19:51:37.000+05:45,6936,19,BLUS,50.903127,-1.402808,184
2026-07-20T14:01:21.739+05:45,2026-07-20T19:46:00.000+05:45,258,15,BLUS,50.874301,-1.348212,123
2026-07-20T13:48:21.594+05:45,2026-07-20T19:33:12.000+05:45,526,14,TDTR,51.555766,-1.740263,208
2026-07-20T14:12:42.220+05:45,2026-07-20T19:57:20.000+05:45,1648,12,SVCT,50.679123,-1.338113,27
2026-07-20T14:03:17.787+05:45,2026-07-20T19:47:09.000+05:45,526,14,TDTR,51.562663,-1.782845,
2026-07-20T14:09:56.012+05:45,2026-07-20T14:01:56.000+05:45,2004,NW2,TDTR,51.540053,-1.777307,
2026-07-20T14:00:32.028+05:45,2026-07-20T19:45:21.000+05:45,1724,m1,WDBC,50.718051,-1.979059,
2026-07-20T14:25:42.139+05:45,2026-07-20T20:10:10.000+05:45,279,22,TDTR,51.558528,-1.780993,359
2026-07-20T13:49:28.015+05:45,2026-07-20T13:30:37.000+05:45,1629,13,WDBC,50.718304,-1.874276,
2026-07-20T14:04:57.214+05:45,2026-07-20T19:49:30.000+05:45,2254,9,WDBC,50.738239,-2.033614,196
2026-07-20T13:54:59.654+05:45,2026-07-20T19:39:43.000+05:45,1345,8,SVCT,50.687348,-1.084322,331
2026-07-20T14:22:39.327+05:45,2026-07-20T20:07:28.000+05:45,1635,X5,SWWD,51.069603,-1.795402,
2026-07-20T13:50:18.082+05:45,2026-07-20T19:34:54.000+05:45,1245,18,BLUS,50.904054,-1.402615,
2026-07-20T14:06:53.175+05:45,2026-07-20T19:51:35.000+05:45,1528,3,BLUS,50.912877,-1.290673,183
2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:21.000+05:45,6939,19a,BLUS,50.900228,-1.354047,38
2026-07-20T13:51:07.853+05:45,2026-07-20T19:35:52.000+05:45,1332,R1,SWWD,51.081556,-1.832369,100
2026-07-20T14:06:53.175+05:45,2026-07-20T19:51:38.000+05:45,102,842,TDTR,51.452106,-2.091902,
2026-07-20T14:01:21.739+05:45,2026-07-20T19:46:02.000+05:45,1789,X3,WDBC,50.832039,-1.810348,182
2026-07-20T14:36:26.568+05:45,2026-07-20T20:20:59.000+05:45,1625,33,WDBC,50.750441,-1.837897,116
2026-07-20T14:00:48.742+05:45,2026-07-20T19:45:31.000+05:45,7104,213,SVCT,50.657566,-1.166255,
2026-07-20T13:49:44.693+05:45,2026-07-20T19:34:36.000+05:45,1607,8,BLUS,50.864292,-1.433364,46
2026-07-20T13:56:38.969+05:45,2026-07-20T19:41:12.000+05:45,2254,9,WDBC,50.742433,-2.012116,264
2026-07-20T14:19:53.443+05:45,2026-07-20T13:09:34.000+05:45,7849,205,SVCT,50.695579,-1.311294,26
2026-07-20T14:06:36.625+05:45,2026-07-20T19:51:09.000+05:45,108,36,WDBC,50.763508,-1.914465,314
2026-07-20T13:54:59.654+05:45,2026-07-20T19:39:52.000+05:45,1733,m1,WDBC,50.751514,-1.841066,32
