pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T14:02:44.584+05:45,2026-07-20T19:47:29.000+05:45,2773,5,TDTR,51.558816,-1.784672,99
2026-07-20T14:07:43.066+05:45,2026-07-20T19:52:31.000+05:45,6935,19a,BLUS,50.903673,-1.40261,
2026-07-20T14:30:07.401+05:45,2026-07-20T20:14:59.000+05:45,1533,81,WDBC,50.748357,-1.651969,144
2026-07-20T14:07:43.066+05:45,2026-07-20T13:06:28.000+05:45,1532,C,WDBC,50.747141,-1.722489,
2026-07-20T13:50:34.519+05:45,2026-07-20T19:35:12.000+05:45,1561,17,BLUS,50.90083,-1.396143,
2026-07-20T14:07:59.661+05:45,2026-07-20T12:46:47.000+05:45,1644,538,BLUS,50.861019,-1.430722,
2026-07-20T14:33:41.663+05:45,2026-07-20T20:18:19.000+05:45,1757,2,BLUS,50.92721,-1.389534,248
2026-07-20T13:50:18.082+05:45,2026-07-20T19:35:13.000+05:45,1758,2,BLUS,50.968793,-1.350514,
2026-07-20T14:18:14.016+05:45,2026-07-20T20:03:00.000+05:45,2780,1,TDTR,51.557635,-1.82492,89
2026-07-20T14:03:01.130+05:45,2026-07-20T19:47:38.000+05:45,253,20,BLUS,50.90531,-1.406348,350
2026-07-20T14:09:22.773+05:45,2026-07-20T19:54:11.000+05:45,1793,X8,DAMY,50.823763,-2.127788,153
2026-07-20T13:53:03.793+05:45,2026-07-20T19:37:31.000+05:45,7930,TPDRT,SWWD,51.277349,-1.687128,277
2026-07-20T14:24:19.018+05:45,2026-07-20T20:08:54.000+05:45,1827,NFB,WDBC,50.809202,-1.716176,185
2026-07-20T14:25:42.139+05:45,2026-07-20T20:10:20.000+05:45,1689,12,WDBC,50.721457,-1.86736,49
2026-07-20T13:53:53.476+05:45,2026-07-20T13:08:57.000+05:45,7837,212,SVCT,50.657524,-1.166246,
2026-07-20T14:38:55.083+05:45,2026-07-20T20:23:21.000+05:45,7924,PVDRT,SWWD,51.338679,-1.953793,258
2026-07-20T14:24:52.252+05:45,2026-07-20T20:09:43.000+05:45,1722,m1,WDBC,50.748497,-1.861056,6
2026-07-20T14:36:43.121+05:45,2026-07-20T20:21:15.000+05:45,2257,26,WDBC,50.741212,-1.96789,248
2026-07-20T14:34:31.127+05:45,2026-07-20T20:19:19.000+05:45,1682,8,SWWD,51.174394,-1.778769,221
2026-07-20T13:49:28.015+05:45,2026-07-20T19:33:53.000+05:45,1551,17,BLUS,50.914448,-1.423331,
2026-07-20T14:29:34.233+05:45,2026-07-20T20:14:11.000+05:45,108,36,WDBC,50.768092,-1.912506,208
2026-07-20T14:15:44.573+05:45,2026-07-20T20:00:20.000+05:45,2747,3,BLUS,50.969701,-1.336734,296
2026-07-20T14:19:03.545+05:45,2026-07-20T19:48:49.000+05:45,1330,X7,SWWD,51.07353,-1.795795,
2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:33.000+05:45,1324,650,SWWD,51.068581,-1.791745,
2026-07-20T14:22:06.195+05:45,2026-07-20T20:06:37.000+05:45,1722,m1,WDBC,50.745645,-1.861541,4
2026-07-20T14:15:11.585+05:45,2026-07-20T13:46:41.000+05:45,1136,X5,SWWD,51.172259,-1.778756,
2026-07-20T14:02:27.965+05:45,2026-07-20T19:47:14.000+05:45,7923,MHDRT,SWWD,51.420094,-1.718228,289
2026-07-20T14:31:29.596+05:45,2026-07-20T20:15:51.000+05:45,1250,504,BLUS,50.940924,-1.457254,151
2026-07-20T14:11:19.294+05:45,2026-07-20T19:56:04.000+05:45,158,937,SWWD,51.07994,-1.771733,
2026-07-20T14:07:26.381+05:45,2026-07-20T19:52:17.000+05:45,2757,11,BLUS,50.908332,-1.412789,180
2026-07-20T14:09:56.012+05:45,2026-07-20T19:54:40.000+05:45,1660,5,TDTR,51.582465,-1.803718,77
2026-07-20T14:37:16.190+05:45,2026-07-20T20:22:10.000+05:45,1554,17,BLUS,50.933941,-1.438999,79
2026-07-20T13:47:48.689+05:45,2026-07-20T19:32:33.000+05:45,2264,18,WDBC,50.735016,-1.951586,
2026-07-20T13:54:26.649+05:45,2026-07-20T19:39:07.000+05:45,7843,205,SVCT,50.696604,-1.312987,
2026-07-20T14:15:11.585+05:45,2026-07-20T19:55:41.000+05:45,2751,120,WDBC,50.786523,-1.609063,24
2026-07-20T13:54:43.105+05:45,2026-07-20T19:39:27.000+05:45,1822,60,WDBC,50.721029,-1.956547,123
2026-07-20T14:30:56.689+05:45,2026-07-20T20:15:36.000+05:45,1641,X7,SWWD,50.9065,-1.406682,
2026-07-20T14:36:09.915+05:45,2026-07-20T20:21:01.000+05:45,1550,17,BLUS,50.940182,-1.438608,67
2026-07-20T14:19:53.443+05:45,2026-07-20T20:04:36.000+05:45,1220,U1C,UNIL,50.896617,-1.40428,
2026-07-20T14:22:22.800+05:45,2026-07-20T20:07:09.000+05:45,1697,13,WDBC,50.797916,-1.971336,260
2026-07-20T14:05:46.677+05:45,2026-07-19T23:01:26.000+05:45,1207,U1C,UNIL,50.899202,-1.401313,
2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:30.000+05:45,1220,U1C,UNIL,50.893521,-1.394902,171
2026-07-20T13:52:47.237+05:45,2026-07-20T19:37:22.000+05:45,522,5,TDTR,51.596274,-1.805976,159
2026-07-20T13:51:40.890+05:45,2026-07-20T19:36:16.000+05:45,1690,U1,WDBC,50.741936,-1.891179,309
2026-07-20T13:55:16.179+05:45,2026-07-20T18:39:30.000+05:45,1144,CR9,DAMY,50.861576,-2.160278,
2026-07-20T14:29:17.576+05:45,2026-07-20T19:59:12.000+05:45,1113,CR9,DAMY,50.713685,-2.44828,
2026-07-20T14:25:58.742+05:45,2026-07-20T20:10:43.000+05:45,2704,9,TDTR,51.524996,-1.797596,317
2026-07-20T13:59:42.436+05:45,2026-07-20T19:44:15.000+05:45,1843,14,WDBC,50.760139,-1.871917,199
2026-07-20T13:58:51.599+05:45,2026-07-20T19:43:40.000+05:45,1620,2,SVCT,50.685197,-1.288804,181
2026-07-20T14:02:44.584+05:45,2026-07-20T19:47:16.000+05:45,1401,TNB,SVCT,50.698172,-1.482052,186
2026-07-20T13:58:01.936+05:45,2026-07-20T19:42:25.000+05:45,2283,33,WDBC,50.735701,-1.844175,231
2026-07-20T14:04:07.496+05:45,2026-07-20T19:48:45.000+05:45,1848,17,WDBC,50.721015,-1.868156,51
2026-07-20T13:53:20.555+05:45,2026-07-20T19:38:08.000+05:45,3817,949,DAMY,50.941511,-1.851732,
2026-07-20T14:07:59.661+05:45,2026-07-20T14:12:17.000+05:45,2777,1A,TDTR,51.562765,-1.784263,
2026-07-20T14:25:08.856+05:45,2026-07-20T20:09:41.000+05:45,3835,929,SWWD,51.030218,-1.931569,118
2026-07-20T14:24:02.310+05:45,2026-07-20T19:28:31.000+05:45,1559,17,BLUS,50.903329,-1.405749,
2026-07-20T14:01:54.707+05:45,2026-07-20T18:42:58.000+05:45,1631,5,WDBC,50.718806,-1.875376,
2026-07-20T14:12:08.896+05:45,2026-07-20T19:56:59.000+05:45,1322,9,SVCT,50.732527,-1.159725,
2026-07-20T13:52:30.529+05:45,2026-07-20T19:37:16.000+05:45,1334,X4,SWWD,51.195485,-1.783055,96
2026-07-20T14:22:55.935+05:45,2026-07-20T20:07:34.000+05:45,1648,12,SVCT,50.698594,-1.294223,90
2026-07-20T13:56:55.713+05:45,2026-07-20T19:41:16.000+05:45,1642,X5,SWWD,51.195229,-1.776053,98
2026-07-20T13:53:20.555+05:45,2026-07-20T19:37:49.000+05:45,7923,MHDRT,SWWD,51.412645,-1.694298,295
2026-07-20T13:50:01.209+05:45,2026-07-20T19:34:52.000+05:45,1547,193,WDBC,50.751617,-1.654275,161
2026-07-20T14:35:36.893+05:45,2026-07-20T20:14:54.000+05:45,1697,13,WDBC,50.800006,-1.988161,
2026-07-20T14:12:08.896+05:45,2026-07-20T19:56:52.000+05:45,2709,CR7,DAMY,51.000328,-2.186186,164
2026-07-20T13:48:54.550+05:45,2026-07-20T19:33:45.000+05:45,1212,U1A,UNIL,50.893524,-1.395148,
2026-07-20T14:37:16.190+05:45,2026-07-20T13:48:34.000+05:45,1206,U6H,UNIL,50.938535,-1.429147,
2026-07-20T13:46:26.014+05:45,2026-07-20T19:31:13.000+05:45,275,1B,TDTR,51.578184,-1.828391,209
2026-07-20T13:47:32.244+05:45,2026-07-20T19:32:20.000+05:45,1000,X4,SWWD,51.168059,-1.764026,108
2026-07-20T14:32:02.837+05:45,2026-07-20T20:16:47.000+05:45,1333,R1,SWWD,51.064894,-1.793765,10
2026-07-20T14:20:10.021+05:45,2026-07-20T17:21:28.000+05:45,1570,19,BLUS,50.902597,-1.405587,
2026-07-20T14:13:15.471+05:45,2026-07-20T19:10:01.000+05:45,1540,81,WDBC,50.760682,-1.537336,
2026-07-20T13:46:26.014+05:45,2026-07-20T19:31:07.000+05:45,7843,205,SVCT,50.696716,-1.313229,
2026-07-20T14:29:01.106+05:45,2026-07-20T20:13:52.000+05:45,1651,7,SVCT,50.689014,-1.34431,262
2026-07-20T13:51:40.890+05:45,2026-07-20T13:07:57.000+05:45,1274,154,TDTR,51.529797,-1.7922,
2026-07-20T14:09:39.353+05:45,2026-07-20T19:54:23.000+05:45,2282,12,WDBC,50.750949,-1.845946,
2026-07-20T14:10:45.897+05:45,2026-07-20T19:55:27.000+05:45,1134,906,SWWD,50.989946,-1.757309,163
2026-07-20T14:06:19.989+05:45,2026-07-20T19:51:08.000+05:45,228,14,BLUS,50.926032,-1.316632,103
2026-07-20T14:28:44.394+05:45,2026-07-20T20:13:26.000+05:45,6936,19,BLUS,50.899968,-1.354458,61
2026-07-20T14:07:26.381+05:45,2026-07-20T19:52:10.000+05:45,1194,32,WDBC,50.782964,-1.963179,181
2026-07-20T13:57:45.371+05:45,2026-07-20T19:42:39.000+05:45,236,12,WDBC,50.754496,-1.843672,114
2026-07-20T14:11:35.844+05:45,2026-07-20T13:52:51.000+05:45,1575,966,SWWD,51.082722,-1.77037,220
2026-07-20T14:27:54.899+05:45,2026-07-20T19:54:56.000+05:45,1194,32,WDBC,50.78067,-1.975189,159
2026-07-20T14:34:31.127+05:45,2026-07-20T20:19:14.000+05:45,1808,9,BLUS,50.854684,-1.412028,29
2026-07-20T14:10:12.575+05:45,2026-07-20T17:16:53.000+05:45,1617,1,SVCT,50.76219,-1.29852,
2026-07-20T14:28:11.478+05:45,2026-07-20T20:12:45.000+05:45,1307,5,SVCT,50.743537,-1.271823,135
