pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T14:38:05.833+05:45,2026-07-20T20:22:33.000+05:45,1661,155,TDTR,51.543544,-1.761815,85
2026-07-20T13:54:43.105+05:45,2026-07-20T19:39:13.000+05:45,1312,9,SVCT,50.727885,-1.180808,
2026-07-20T14:14:54.990+05:45,2026-07-20T17:16:08.000+05:45,269,5,BLUS,50.970083,-1.351795,
2026-07-20T14:27:38.341+05:45,2026-07-20T00:39:13.000+05:45,1146,31,WDBC,50.681518,-2.22157,
2026-07-20T14:24:35.626+05:45,2026-07-20T13:52:51.000+05:45,1575,966,SWWD,51.082722,-1.77037,220
2026-07-20T14:01:05.161+05:45,2026-07-20T19:45:38.000+05:45,1739,17,WDBC,50.735244,-1.922643,125
2026-07-20T14:17:57.544+05:45,2026-07-20T20:02:22.000+05:45,1690,U3,WDBC,50.739532,-1.877579,104
2026-07-20T14:00:32.028+05:45,2026-07-20T19:44:54.000+05:45,1204,U6H,UNIL,50.90702,-1.406618,96
2026-07-20T14:23:45.622+05:45,2026-07-20T20:08:32.000+05:45,1265,18,BLUS,50.909774,-1.418168,123
2026-07-20T14:33:41.663+05:45,2026-07-20T20:18:31.000+05:45,1316,1,SVCT,50.698601,-1.294592,
2026-07-20T14:38:38.675+05:45,2026-07-20T20:23:11.000+05:45,1271,R24,TDTR,51.543877,-1.734331,102
2026-07-20T14:05:29.987+05:45,2026-07-20T00:26:46.000+05:45,1710,50,WDBC,50.726812,-1.864737,
2026-07-20T14:35:20.469+05:45,2026-07-20T20:20:05.000+05:45,219,17,TDTR,51.565762,-1.77691,80
2026-07-20T13:53:20.555+05:45,2026-07-20T19:05:31.000+05:45,1590,X6,WDBC,50.847871,-1.7905,196
2026-07-20T14:33:41.663+05:45,2026-07-20T20:18:30.000+05:45,251,1C,WDBC,50.725275,-1.844333,245
2026-07-20T13:51:40.890+05:45,2026-07-19T23:57:38.000+05:45,2744,13,BLUS,50.915224,-1.361136,214
2026-07-20T14:25:08.856+05:45,2026-07-20T20:09:45.000+05:45,240,21,WDBC,50.723944,-1.864287,212
2026-07-20T14:04:24.068+05:45,2026-07-20T19:49:10.000+05:45,1793,X8,DAMY,50.847679,-2.157132,134
2026-07-20T14:36:09.915+05:45,2026-07-20T20:20:37.000+05:45,2728,625,SWWD,51.035699,-2.269923,77
2026-07-20T14:10:29.194+05:45,2026-07-20T19:55:20.000+05:45,2723,R10,SWWD,51.075058,-1.820858,108
2026-07-20T14:15:11.585+05:45,2026-07-20T19:59:54.000+05:45,1568,16,BLUS,50.906376,-1.40662,
2026-07-20T14:24:52.252+05:45,2026-07-20T20:09:13.000+05:45,255,14,BLUS,50.928868,-1.342996,99
2026-07-20T14:06:03.275+05:45,2026-07-20T19:28:18.000+05:45,2716,119,WDBC,50.759587,-1.538479,
2026-07-20T14:31:29.596+05:45,2026-07-20T20:15:53.000+05:45,1218,U2C,UNIL,50.910705,-1.404862,
2026-07-20T14:24:35.626+05:45,2026-07-20T20:09:15.000+05:45,1265,18,BLUS,50.909661,-1.417886,
2026-07-20T14:19:36.738+05:45,2026-07-20T20:04:25.000+05:45,1238,18,BLUS,50.908733,-1.401663,178
2026-07-20T14:25:42.139+05:45,2026-07-20T20:10:30.000+05:45,1121,14,WDBC,50.753079,-1.854689,306
2026-07-20T14:08:16.251+05:45,2026-07-20T19:52:55.000+05:45,258,15,BLUS,50.860928,-1.326325,133
2026-07-20T13:48:54.550+05:45,2026-07-20T19:33:26.000+05:45,1734,m1,WDBC,50.719009,-1.980014,313
2026-07-20T14:28:11.478+05:45,2026-07-20T13:07:56.000+05:45,1272,152,TDTR,51.530068,-1.792261,
2026-07-20T14:11:52.408+05:45,2026-07-20T19:56:30.000+05:45,2713,10,WDBC,50.730257,-1.986544,6
2026-07-20T13:50:51.121+05:45,2026-07-20T19:33:34.000+05:45,1691,1A,WDBC,50.71933,-1.876324,
2026-07-20T14:10:45.897+05:45,2026-07-20T19:55:36.000+05:45,1211,U6C,UNIL,50.934048,-1.432023,
2026-07-20T14:11:35.844+05:45,2026-07-20T19:56:30.000+05:45,1619,3,SVCT,50.675474,-1.283197,28
2026-07-20T14:29:34.233+05:45,2026-07-20T20:14:25.000+05:45,1661,155,TDTR,51.534732,-1.78488,4
2026-07-20T14:22:55.935+05:45,2026-07-20T20:07:44.000+05:45,901,PR7,SWWD,51.068663,-1.792357,275
2026-07-20T14:29:01.106+05:45,2026-07-20T12:50:55.000+05:45,2754,539,BLUS,50.861011,-1.430737,151
2026-07-20T13:57:12.297+05:45,2026-07-20T19:41:58.000+05:45,1742,3,SVCT,50.724489,-1.156491,120
2026-07-20T14:32:52.075+05:45,2026-07-20T20:17:27.000+05:45,3813,38,SVCT,50.691844,-1.31538,168
2026-07-20T14:08:16.251+05:45,2026-07-20T19:53:04.000+05:45,223,13,BLUS,50.917533,-1.337853,233
2026-07-20T14:24:02.310+05:45,2026-07-20T19:59:41.000+05:45,1553,PRH,BLUS,50.934528,-1.467086,
2026-07-20T14:27:38.341+05:45,2026-07-20T20:12:15.000+05:45,2746,10,BLUS,50.897983,-1.378349,271
2026-07-20T14:27:05.255+05:45,2026-07-20T20:11:52.000+05:45,2101,13,TDTR,51.548369,-1.737617,49
2026-07-20T14:11:19.294+05:45,2026-07-20T19:56:07.000+05:45,1624,20,WDBC,50.744505,-1.869654,184
2026-07-20T14:11:52.408+05:45,2026-07-20T19:56:46.000+05:45,1557,17,BLUS,50.90889,-1.4075,91
2026-07-20T14:10:29.194+05:45,2026-07-20T19:55:00.000+05:45,1750,7,BLUS,50.922426,-1.43479,233
2026-07-20T14:14:38.419+05:45,2026-07-20T19:59:22.000+05:45,1120,L3,WDBC,50.741738,-2.0596,
