pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T14:27:21.737+05:45,2026-07-20T20:12:02.000+05:45,7926,901,SWWD,51.41568,-1.51513,4
2026-07-20T14:08:16.251+05:45,2026-07-20T19:52:55.000+05:45,1605,PRH,BLUS,50.934563,-1.467145,
2026-07-20T14:09:22.773+05:45,2026-07-20T19:53:55.000+05:45,1827,NFB,WDBC,50.799916,-1.649749,285
2026-07-20T14:15:28.101+05:45,2026-07-20T19:59:58.000+05:45,1407,70,WDBC,50.725041,-1.786865,
2026-07-20T13:48:21.594+05:45,2026-07-20T19:28:33.000+05:45,1696,5,WDBC,50.718727,-1.873105,114
2026-07-20T14:28:27.930+05:45,2026-07-20T20:12:59.000+05:45,1598,X5,SWWD,51.562408,-1.772716,259
2026-07-20T14:18:47.051+05:45,2026-07-20T20:03:38.000+05:45,9501,TW1,SQ,50.698043,-1.294485,
2026-07-20T13:54:59.654+05:45,2026-07-20T19:39:30.000+05:45,9502,TW2,SQ,50.732877,-1.159573,
2026-07-20T14:28:44.394+05:45,2026-07-20T00:39:13.000+05:45,1146,31,WDBC,50.681518,-2.22157,
2026-07-20T13:47:48.689+05:45,2026-07-20T19:25:01.000+05:45,3813,TSS,SVCT,50.631604,-1.179554,
2026-07-20T14:31:46.259+05:45,2026-07-20T20:16:39.000+05:45,280,1A,TDTR,51.5625,-1.773243,100
2026-07-20T14:17:07.690+05:45,2026-07-20T20:01:53.000+05:45,1120,L3,WDBC,50.741728,-2.059668,
2026-07-20T13:58:35.059+05:45,2026-07-20T19:43:18.000+05:45,278,48A,TDTR,51.449132,-1.586264,198
2026-07-20T14:13:32.051+05:45,2026-07-20T19:58:18.000+05:45,2282,12,WDBC,50.756607,-1.847115,347
2026-07-20T14:33:58.243+05:45,2026-07-20T20:18:32.000+05:45,1345,8,SVCT,50.732811,-1.160146,
2026-07-20T14:18:30.473+05:45,2026-07-20T20:02:59.000+05:45,1697,13,WDBC,50.799432,-1.950823,195
