pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T14:32:35.623+05:45,2026-07-20T20:17:19.000+05:45,1407,70,WDBC,50.721798,-1.816727,
2026-07-20T14:06:03.275+05:45,2026-07-20T19:50:53.000+05:45,1564,18,BLUS,50.905008,-1.400828,171
2026-07-20T14:22:22.800+05:45,2026-07-20T20:06:53.000+05:45,2270,25,WDBC,50.750044,-1.961905,89
2026-07-20T14:19:20.193+05:45,2026-07-20T20:04:08.000+05:45,1798,1,BLUS,50.91026,-1.404818,
2026-07-20T13:50:34.519+05:45,2026-07-20T19:35:18.000+05:45,1410,20,WDBC,50.731388,-1.788835,55
2026-07-20T14:16:34.526+05:45,2026-07-20T20:01:22.000+05:45,522,5,TDTR,51.562547,-1.782371,271
2026-07-20T14:00:15.584+05:45,2026-07-20T19:44:56.000+05:45,1791,X3,WDBC,50.847971,-1.791267,316
2026-07-20T14:29:01.106+05:45,2026-07-20T20:13:56.000+05:45,6936,19,BLUS,50.90008,-1.354249,
2026-07-20T13:57:45.371+05:45,2026-07-20T19:42:18.000+05:45,2722,PR3,SWWD,51.070337,-1.802157,110
2026-07-20T14:20:26.643+05:45,2026-07-20T19:10:27.000+05:45,1846,15,WDBC,50.717946,-1.977742,
2026-07-20T14:02:27.965+05:45,2026-07-20T19:47:08.000+05:45,1311,9,SVCT,50.732574,-1.159689,
2026-07-20T14:09:56.012+05:45,2026-07-20T18:39:30.000+05:45,1144,CR9,DAMY,50.861576,-2.160278,
2026-07-20T14:00:48.742+05:45,2026-07-20T18:31:04.000+05:45,1580,X5,SWWD,51.069646,-1.795888,
2026-07-20T13:49:11.301+05:45,2026-07-20T19:33:42.000+05:45,1566,7,BLUS,50.933454,-1.443203,49
2026-07-20T14:01:21.739+05:45,2026-07-20T19:46:17.000+05:45,1770,m2,WDBC,50.723338,-1.90426,104
2026-07-20T13:47:48.689+05:45,2026-07-20T19:32:26.000+05:45,2765,5,DAMY,50.643267,-2.430522,
2026-07-20T14:28:44.394+05:45,2026-07-20T00:15:33.000+05:45,1406,70,WDBC,50.718005,-1.977724,
2026-07-20T13:59:42.436+05:45,2026-07-20T19:44:30.000+05:45,1801,1,BLUS,51.008347,-1.343,196
2026-07-20T14:39:11.719+05:45,2026-07-20T20:24:01.000+05:45,2759,4,BLUS,50.922134,-1.433274,320
2026-07-20T14:10:29.194+05:45,2026-07-20T19:55:15.000+05:45,1722,m1,WDBC,50.726418,-1.862843,300
2026-07-20T14:04:24.068+05:45,2026-07-20T19:49:06.000+05:45,1776,m2,WDBC,50.721738,-1.798806,
2026-07-20T14:05:46.677+05:45,2026-07-20T00:48:25.000+05:45,1231,U1A,UNIL,50.950308,-1.364667,
2026-07-20T14:12:42.220+05:45,2026-07-20T19:57:35.000+05:45,1556,17,BLUS,50.939611,-1.441059,68
2026-07-20T14:05:13.655+05:45,2026-07-20T15:52:53.000+05:45,1329,66,SWWD,51.068513,-1.79505,
2026-07-20T14:03:50.743+05:45,2026-07-20T19:48:14.000+05:45,1716,m1,WDBC,50.718987,-1.875817,314
2026-07-20T14:09:06.099+05:45,2026-07-19T22:36:21.000+05:45,1402,SL,SVCT,50.698078,-1.294553,
2026-07-20T14:05:29.987+05:45,2026-07-20T19:50:06.000+05:45,6945,19a,BLUS,50.9076,-1.401504,
2026-07-20T14:20:10.021+05:45,2026-07-20T20:04:49.000+05:45,1694,5,WDBC,50.735595,-1.866967,230
2026-07-20T14:34:31.127+05:45,2026-07-20T20:19:13.000+05:45,1534,775,WDBC,50.744421,-1.579246,316
2026-07-20T14:31:46.259+05:45,2026-07-20T20:16:25.000+05:45,2750,9,TDTR,51.551991,-1.777028,197
2026-07-20T13:53:53.476+05:45,2026-07-20T19:38:14.000+05:45,1313,9,SVCT,50.711112,-1.254384,227
2026-07-20T13:49:44.693+05:45,2026-07-20T15:21:27.000+05:45,246,1C,WDBC,50.719131,-1.876064,
2026-07-20T13:46:59.145+05:45,2026-07-20T19:31:50.000+05:45,260,13,BLUS,50.914993,-1.361392,220
2026-07-20T14:31:46.259+05:45,2026-07-20T20:16:37.000+05:45,1219,U1C,UNIL,50.938541,-1.387998,
2026-07-20T13:50:18.082+05:45,2026-07-20T19:35:00.000+05:45,1810,5,BLUS,50.964776,-1.379096,105
2026-07-20T14:08:32.993+05:45,2026-07-20T14:01:56.000+05:45,2004,NW2,TDTR,51.540053,-1.777307,
2026-07-20T14:15:11.585+05:45,2026-07-20T19:59:57.000+05:45,2735,11,TDTR,51.541351,-1.790338,98
2026-07-20T14:16:01.086+05:45,2026-07-20T20:00:45.000+05:45,1345,8,SVCT,50.715991,-1.124564,343
2026-07-20T13:51:40.890+05:45,2026-07-20T19:36:15.000+05:45,514,17,TDTR,51.587658,-1.777869,297
2026-07-20T14:09:39.353+05:45,2026-07-20T19:54:31.000+05:45,1683,6,WDBC,50.756769,-1.928411,39
2026-07-20T14:14:05.213+05:45,2026-07-20T19:58:58.000+05:45,1593,11,WDBC,50.769089,-1.903058,279
2026-07-20T14:38:55.083+05:45,2026-07-20T20:23:36.000+05:45,285,11,BLUS,50.921784,-1.472515,255
2026-07-20T14:10:12.575+05:45,2026-07-20T19:54:53.000+05:45,1528,3,BLUS,50.903115,-1.29955,239
2026-07-20T14:07:09.895+05:45,2026-07-20T19:51:56.000+05:45,1594,1C,WDBC,50.721834,-1.796731,70
2026-07-20T14:19:20.193+05:45,2026-07-20T20:03:56.000+05:45,1234,18,BLUS,50.907178,-1.33298,301
2026-07-20T14:30:40.275+05:45,2026-07-20T17:32:38.000+05:45,1320,1,SVCT,50.69795,-1.294053,
2026-07-20T14:03:34.279+05:45,2026-07-20T19:48:15.000+05:45,1705,50,WDBC,50.634445,-1.972403,251
2026-07-20T14:23:45.622+05:45,2026-07-20T20:08:40.000+05:45,1326,X4,SWWD,51.087865,-1.798844,343
2026-07-20T14:04:24.068+05:45,2026-07-20T19:48:53.000+05:45,1673,13,WDBC,50.80072,-1.9849,275
2026-07-20T14:30:23.803+05:45,2026-07-20T20:15:21.000+05:45,2254,9,WDBC,50.714206,-2.003584,113
2026-07-20T14:04:24.068+05:45,2026-07-20T19:49:00.000+05:45,1217,U6H,UNIL,50.907176,-1.41291,
2026-07-20T14:12:25.550+05:45,2026-07-20T19:57:17.000+05:45,1811,1,BLUS,50.959553,-1.398094,
2026-07-20T14:07:43.066+05:45,2026-07-20T00:48:25.000+05:45,1231,U1A,UNIL,50.950308,-1.364667,
