pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T14:20:59.984+05:45,2026-07-20T02:08:59.000+05:45,1782,16,WDBC,50.717903,-1.978009,
2026-07-20T14:03:50.743+05:45,2026-07-20T19:48:17.000+05:45,1511,3,SVCT,50.637968,-1.172392,206
2026-07-20T14:30:56.689+05:45,2026-07-20T19:57:59.000+05:45,101,42,TDTR,51.417408,-1.734743,117
2026-07-20T14:20:10.021+05:45,2026-07-20T20:04:59.000+05:45,1827,NFB,WDBC,50.824304,-1.703884,232
2026-07-20T13:47:48.689+05:45,2026-07-20T19:32:10.000+05:45,1562,17,BLUS,50.90496,-1.402127,91
2026-07-20T14:34:31.127+05:45,2026-07-20T20:19:13.000+05:45,1222,U6C,UNIL,50.939489,-1.428931,
2026-07-20T14:06:53.175+05:45,2026-07-20T14:29:56.000+05:45,1507,CR9,DAMY,50.850086,-2.160565,
2026-07-20T14:00:32.028+05:45,2026-07-20T19:45:14.000+05:45,1561,17,BLUS,50.89382,-1.380238,121
2026-07-20T14:25:25.565+05:45,2026-07-20T20:10:12.000+05:45,1776,m2,WDBC,50.723012,-1.852711,266
2026-07-20T14:29:34.233+05:45,2026-07-20T20:14:02.000+05:45,1810,5,BLUS,50.969902,-1.351767,
2026-07-20T14:15:44.573+05:45,2026-07-20T19:26:51.000+05:45,3831,6,DAMY,50.712262,-2.458399,
2026-07-20T14:30:07.401+05:45,2026-07-20T20:15:00.000+05:45,1737,5,WDBC,50.758262,-1.910026,73
2026-07-20T14:14:05.213+05:45,2026-07-20T19:58:41.000+05:45,275,1B,TDTR,51.578899,-1.837302,
2026-07-20T13:54:43.105+05:45,2026-07-20T19:39:08.000+05:45,1701,40,WDBC,50.73817,-2.053906,248
2026-07-20T14:05:46.677+05:45,2026-07-20T19:50:36.000+05:45,1641,X7R,SWWD,50.908849,-1.414488,71
2026-07-20T13:53:20.555+05:45,2026-07-20T19:37:58.000+05:45,1332,R1,SWWD,51.078974,-1.828184,1
2026-07-20T13:56:05.977+05:45,2026-07-20T19:40:52.000+05:45,1845,14,WDBC,50.746592,-1.911205,
2026-07-20T13:50:34.519+05:45,2026-07-20T19:35:16.000+05:45,1567,17,BLUS,50.940395,-1.452589,60
2026-07-20T13:58:35.059+05:45,2026-07-20T19:43:19.000+05:45,1593,11,WDBC,50.745715,-1.878128,8
2026-07-20T14:05:46.677+05:45,2026-07-20T19:50:32.000+05:45,2723,R10,SWWD,51.087281,-1.824002,148
2026-07-20T13:54:43.105+05:45,2026-07-20T17:32:38.000+05:45,1320,1,SVCT,50.69795,-1.294053,
2026-07-20T13:50:01.209+05:45,2026-07-20T19:26:03.000+05:45,1713,m2,WDBC,50.718061,-1.978465,291
2026-07-20T14:25:25.565+05:45,2026-07-20T16:45:25.000+05:45,1251,U1A,UNIL,50.936472,-1.397074,
2026-07-20T14:29:01.106+05:45,2026-07-20T20:13:31.000+05:45,1799,1,BLUS,50.988846,-1.372095,233
2026-07-20T14:37:32.762+05:45,2026-07-20T20:22:15.000+05:45,1637,X7,SWWD,50.946027,-1.547723,120
2026-07-20T13:48:38.078+05:45,2026-07-20T19:33:30.000+05:45,1627,35,WDBC,50.685975,-2.109872,165
2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:32.000+05:45,1573,80,TDTR,51.465056,-1.711049,212
2026-07-20T13:47:32.244+05:45,2026-07-20T19:32:20.000+05:45,1784,X3,WDBC,51.056837,-1.793503,125
2026-07-20T14:07:26.381+05:45,2026-07-20T11:26:56.000+05:45,2719,PR3,SWWD,51.069642,-1.795234,94
2026-07-20T13:47:48.689+05:45,2026-07-20T19:32:35.000+05:45,1147,15,WDBC,50.752357,-1.876224,193
2026-07-20T14:38:05.833+05:45,2026-07-20T20:22:49.000+05:45,1317,1,SVCT,50.710976,-1.302796,164
2026-07-20T14:03:17.787+05:45,2026-07-20T19:48:05.000+05:45,1724,m1,WDBC,50.721425,-1.974963,
2026-07-20T14:11:19.294+05:45,2026-07-20T19:55:52.000+05:45,1529,5,BLUS,50.984884,-1.461387,274
2026-07-20T14:38:22.344+05:45,2026-07-20T17:27:41.000+05:45,1775,m2,WDBC,50.719431,-1.88205,
2026-07-20T14:16:01.086+05:45,2026-07-20T20:00:52.000+05:45,280,1A,TDTR,51.56225,-1.791383,54
2026-07-20T14:09:06.099+05:45,2026-07-20T19:53:58.000+05:45,7930,TPDRT,SWWD,51.359593,-1.812867,296
2026-07-20T14:07:26.381+05:45,2026-07-20T19:52:16.000+05:45,2765,5,DAMY,50.693317,-2.332544,236
2026-07-20T14:19:20.193+05:45,2026-07-20T20:03:55.000+05:45,1307,5,SVCT,50.758339,-1.288207,123
2026-07-20T13:57:28.698+05:45,2026-07-20T19:42:18.000+05:45,2713,10,WDBC,50.717963,-1.978216,
2026-07-20T14:23:12.551+05:45,2026-07-20T20:07:52.000+05:45,1630,13,WDBC,50.761566,-1.873639,286
2026-07-20T14:24:19.018+05:45,2026-07-20T20:09:01.000+05:45,1403,TNB,SVCT,50.668055,-1.565624,
2026-07-20T13:52:47.237+05:45,2026-07-20T19:37:25.000+05:45,2767,20,DAMY,50.998913,-1.902885,56
2026-07-20T14:11:19.294+05:45,2026-07-20T19:56:03.000+05:45,1717,m1,WDBC,50.753736,-1.856073,127
2026-07-20T14:38:55.083+05:45,2026-07-20T20:23:32.000+05:45,217,153,TDTR,51.581327,-1.798777,357
2026-07-20T14:37:49.223+05:45,2026-07-20T20:22:15.000+05:45,2269,18,WDBC,50.727972,-1.925323,106
2026-07-20T14:25:42.139+05:45,2026-07-20T20:10:19.000+05:45,2257,26,WDBC,50.751165,-1.968918,286
2026-07-20T14:36:09.915+05:45,2026-07-20T16:45:25.000+05:45,1251,U1A,UNIL,50.936472,-1.397074,
2026-07-20T14:28:44.394+05:45,2026-07-20T20:13:09.000+05:45,222,20,BLUS,50.904472,-1.403266,
2026-07-20T14:32:35.623+05:45,2026-07-20T20:17:29.000+05:45,1224,U6C,UNIL,50.906721,-1.407065,281
2026-07-20T13:59:25.874+05:45,2026-07-20T13:46:41.000+05:45,1136,X5,SWWD,51.172259,-1.778756,
2026-07-20T14:30:40.275+05:45,2026-07-20T16:31:58.000+05:45,2732,20,DAMY,50.855958,-2.163726,
2026-07-20T14:07:59.661+05:45,2026-07-19T21:56:13.000+05:45,1603,19,BLUS,50.941885,-1.4502,
2026-07-20T14:07:59.661+05:45,2026-07-20T19:52:40.000+05:45,1641,X7R,SWWD,50.907721,-1.410523,99
2026-07-20T14:33:58.243+05:45,2026-07-20T20:18:34.000+05:45,403,R8,SWWD,51.078604,-1.848334,18
2026-07-20T14:01:05.161+05:45,2026-07-20T19:45:34.000+05:45,2747,3,BLUS,50.931026,-1.279276,341
2026-07-20T14:36:26.568+05:45,2026-07-20T15:55:00.000+05:45,3825,ONE,WDBC,50.717971,-1.977797,
2026-07-20T14:18:47.051+05:45,2026-07-20T15:45:47.000+05:45,1772,m2,WDBC,50.727219,-1.841685,
2026-07-20T14:29:01.106+05:45,2026-07-20T20:13:31.000+05:45,1788,X3,WDBC,51.07022,-1.805075,
2026-07-20T13:47:48.689+05:45,2026-07-20T13:44:32.000+05:45,2731,DEAD,SQ,50.819832,-1.568339,
2026-07-20T14:11:02.586+05:45,2026-07-20T19:55:34.000+05:45,1697,13,WDBC,50.80309,-1.934824,252
2026-07-20T14:23:45.622+05:45,2026-07-20T20:08:42.000+05:45,2282,12,WDBC,50.760431,-1.869589,241
2026-07-20T14:14:21.842+05:45,2026-07-20T19:58:50.000+05:45,6941,19a,BLUS,50.907385,-1.329781,238
2026-07-20T13:47:32.244+05:45,2026-07-20T19:32:07.000+05:45,1561,17,BLUS,50.899369,-1.401168,96
2026-07-20T14:06:36.625+05:45,2026-07-20T17:59:47.000+05:45,1344,8,SVCT,50.698131,-1.293921,227
2026-07-20T14:17:57.544+05:45,2026-07-20T20:02:41.000+05:45,1520,1,SVCT,50.710975,-1.302754,164
2026-07-20T14:34:14.663+05:45,2026-07-20T20:18:55.000+05:45,1313,9,SVCT,50.728187,-1.174391,121
2026-07-20T14:16:17.784+05:45,2026-07-20T20:01:00.000+05:45,2251,4,WDBC,50.803398,-1.985592,
2026-07-20T14:23:45.622+05:45,2026-07-20T20:08:25.000+05:45,2709,CR7,DAMY,50.94844,-2.191835,208
2026-07-20T14:22:06.195+05:45,2026-07-20T20:06:43.000+05:45,6935,19a,BLUS,50.913762,-1.41545,7
2026-07-20T14:30:40.275+05:45,2026-07-20T20:15:06.000+05:45,1912,70,WDBC,50.707743,-1.942728,267
2026-07-20T14:31:46.259+05:45,2026-07-20T19:09:57.000+05:45,6929,19a,BLUS,50.911583,-1.328395,
2026-07-20T14:04:57.214+05:45,2026-07-20T19:49:44.000+05:45,258,15,BLUS,50.874507,-1.328378,178
2026-07-20T13:48:21.594+05:45,2026-07-20T19:32:46.000+05:45,1704,50,WDBC,50.722548,-1.900787,108
2026-07-20T14:15:11.585+05:45,2026-07-20T19:59:49.000+05:45,1564,18,BLUS,50.902782,-1.405268,
2026-07-20T14:16:34.526+05:45,2026-07-20T20:01:02.000+05:45,3827,7A,WDBC,50.731354,-1.933532,9
2026-07-20T13:59:25.874+05:45,2026-07-20T19:43:55.000+05:45,1912,70,WDBC,50.716745,-1.87727,
2026-07-20T14:03:01.130+05:45,2026-07-20T17:47:45.000+05:45,1515,7,SVCT,50.698063,-1.294334,
2026-07-20T13:59:08.306+05:45,2026-07-20T18:39:30.000+05:45,1144,CR9,DAMY,50.861576,-2.160278,
2026-07-20T14:22:06.195+05:45,2026-07-20T20:06:34.000+05:45,2718,12,TDTR,51.538619,-1.728217,
2026-07-20T14:32:02.837+05:45,2026-07-20T20:16:55.000+05:45,1699,U1,WDBC,50.743265,-1.893222,110
2026-07-20T14:27:05.255+05:45,2026-07-20T17:21:28.000+05:45,1570,19,BLUS,50.902597,-1.405587,
2026-07-20T13:47:15.639+05:45,2026-07-20T19:32:03.000+05:45,1708,50,WDBC,50.722266,-1.901723,
2026-07-20T14:06:19.989+05:45,2026-07-20T13:20:12.000+05:45,403,634,BLUS,50.994095,-1.500459,220
2026-07-20T13:56:22.403+05:45,2026-07-20T19:41:15.000+05:45,1766,m2,WDBC,50.728717,-1.936434,92
2026-07-20T14:29:34.233+05:45,2026-07-20T17:16:53.000+05:45,1617,1,SVCT,50.76219,-1.29852,
2026-07-20T14:28:44.394+05:45,2026-07-20T20:13:18.000+05:45,1578,PR7,SWWD,51.076157,-1.797585,18
2026-07-20T14:07:59.661+05:45,2026-07-20T19:52:26.000+05:45,1130,24,BLUS,50.905109,-1.297273,87
2026-07-20T13:49:11.301+05:45,2026-07-20T13:16:07.000+05:45,1120,L3,WDBC,50.740059,-2.059142,153
2026-07-20T14:35:20.469+05:45,2026-07-20T20:20:11.000+05:45,2733,11,TDTR,51.543374,-1.801783,281
2026-07-20T14:16:34.526+05:45,2026-07-20T20:01:07.000+05:45,1749,1,BLUS,50.939578,-1.406771,357
2026-07-20T14:26:32.043+05:45,2026-07-20T20:11:10.000+05:45,2774,1,TDTR,51.546211,-1.749378,283
2026-07-20T13:52:47.237+05:45,2026-07-20T19:37:30.000+05:45,2706,13,TDTR,51.554391,-1.724997,95
2026-07-20T14:17:40.810+05:45,2026-07-20T20:02:12.000+05:45,1622,3,SVCT,50.732663,-1.159347,
2026-07-20T14:17:57.544+05:45,2026-07-20T20:02:38.000+05:45,276,12,TDTR,51.577936,-1.784645,203
2026-07-20T13:53:03.793+05:45,2026-07-20T19:37:34.000+05:45,255,14,BLUS,50.904564,-1.402579,
2026-07-20T14:04:40.663+05:45,2026-07-20T19:49:25.000+05:45,1627,35,WDBC,50.63116,-2.052352,160
2026-07-20T13:47:32.244+05:45,2026-07-20T19:32:00.000+05:45,1585,66,SWWD,51.126674,-1.7293,236
2026-07-20T14:07:09.895+05:45,2026-07-20T19:51:53.000+05:45,1547,119,WDBC,50.752902,-1.65586,
2026-07-20T14:18:14.016+05:45,2026-07-20T20:03:01.000+05:45,250,1B,WDBC,50.719327,-1.876281,
2026-07-20T14:07:59.661+05:45,2026-07-20T19:52:43.000+05:45,1119,14,WDBC,50.727366,-1.962585,53
2026-07-20T13:53:53.476+05:45,2026-07-20T19:19:42.000+05:45,9504,TW4,SQ,50.705444,-1.501008,
2026-07-20T13:52:47.237+05:45,2026-07-20T19:37:29.000+05:45,518,17,TDTR,51.573758,-1.777171,357
2026-07-20T14:24:35.626+05:45,2026-07-20T20:09:22.000+05:45,1738,5,WDBC,50.750382,-1.876934,
2026-07-20T14:01:54.707+05:45,2026-07-20T19:46:20.000+05:45,1325,ST,SWWD,51.149933,-1.859062,179
2026-07-20T14:05:13.655+05:45,2026-07-20T19:50:01.000+05:45,1121,14,WDBC,50.745732,-1.820648,
2026-07-20T14:06:19.989+05:45,2026-07-20T19:51:05.000+05:45,518,17,TDTR,51.592367,-1.778573,169
2026-07-20T14:21:49.617+05:45,2026-07-20T20:06:35.000+05:45,1577,X5,SWWD,51.195293,-1.777473,272
2026-07-20T14:36:43.121+05:45,2026-07-20T20:21:31.000+05:45,2773,5,TDTR,51.562644,-1.751725,
2026-07-20T14:03:34.279+05:45,2026-07-20T19:48:09.000+05:45,1653,1,SVCT,50.738623,-1.307847,
2026-07-20T14:30:23.803+05:45,2026-07-20T20:15:20.000+05:45,1554,17,BLUS,50.923642,-1.435211,320
2026-07-20T14:29:50.987+05:45,2026-07-20T20:14:24.000+05:45,2755,4,BLUS,50.950248,-1.455083,202
2026-07-20T14:02:44.584+05:45,2026-07-20T13:08:57.000+05:45,7837,212,SVCT,50.657524,-1.166246,
2026-07-20T13:57:12.297+05:45,2026-07-20T19:41:50.000+05:45,1593,11,WDBC,50.742697,-1.87881,7
2026-07-20T14:30:56.689+05:45,2026-07-20T20:15:29.000+05:45,1718,m1,WDBC,50.736088,-1.865894,230
2026-07-20T14:33:41.663+05:45,2026-07-20T20:18:32.000+05:45,1822,60,WDBC,50.722575,-1.963188,303
