pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T14:39:11.719+05:45,2026-07-20T20:23:58.000+05:45,1832,60,WDBC,50.719006,-2.026775,288
2026-07-20T13:49:28.015+05:45,2026-07-20T19:34:07.000+05:45,1346,8,SVCT,50.698398,-1.28234,88
2026-07-20T14:07:43.066+05:45,2026-07-20T19:52:27.000+05:45,6938,19,BLUS,50.922474,-1.434476,
2026-07-20T14:18:47.051+05:45,2026-07-20T20:03:10.000+05:45,1112,CR8,DAMY,50.613164,-2.45333,
2026-07-20T13:48:38.078+05:45,2026-07-20T19:33:24.000+05:45,1313,9,SVCT,50.725156,-1.231695,272
2026-07-20T14:01:54.707+05:45,2026-07-20T13:46:41.000+05:45,1136,X5,SWWD,51.172259,-1.778756,
2026-07-20T14:18:14.016+05:45,2026-07-20T13:26:39.000+05:45,1610,X6,WDBC,50.810709,-1.875654,
2026-07-20T14:30:07.401+05:45,2026-07-20T20:14:53.000+05:45,1335,X4,SWWD,51.176909,-1.762119,143
2026-07-20T14:38:55.083+05:45,2026-07-20T20:23:48.000+05:45,2254,9,WDBC,50.711586,-1.995381,121
2026-07-20T14:38:05.833+05:45,2026-07-20T20:22:56.000+05:45,1340,PR3,SWWD,51.074725,-1.870843,200
2026-07-20T14:00:48.742+05:45,2026-07-20T19:45:28.000+05:45,1578,PR11,SWWD,51.101715,-1.788731,137
2026-07-20T14:30:40.275+05:45,2026-07-20T20:15:26.000+05:45,1217,U6H,UNIL,50.93921,-1.38086,
2026-07-20T14:06:03.275+05:45,2026-07-20T19:50:34.000+05:45,515,17,TDTR,51.564806,-1.784225,151
2026-07-20T14:23:45.622+05:45,2026-07-20T19:22:58.000+05:45,1270,24,BLUS,50.969801,-1.351826,
2026-07-20T14:04:07.496+05:45,2026-07-20T19:49:03.000+05:45,1147,15,WDBC,50.745738,-1.90649,285
2026-07-20T13:48:54.550+05:45,2026-07-20T19:33:23.000+05:45,1782,X8,DAMY,50.717976,-1.978152,
2026-07-20T13:54:26.649+05:45,2026-07-20T19:38:50.000+05:45,7925,MHDRT,SWWD,51.442427,-1.601376,133
2026-07-20T14:27:05.255+05:45,2026-07-20T20:12:02.000+05:45,9501,TW1,SQ,50.697967,-1.294544,
2026-07-20T13:55:49.329+05:45,2026-07-20T19:19:42.000+05:45,9504,TW4,SQ,50.705444,-1.501008,
2026-07-20T14:13:32.051+05:45,2026-07-20T19:58:27.000+05:45,2750,9,TDTR,51.563529,-1.785384,117
2026-07-20T14:37:16.190+05:45,2026-07-20T20:22:03.000+05:45,1760,2,BLUS,50.971365,-1.334366,205
2026-07-20T14:21:32.985+05:45,2026-07-20T20:06:02.000+05:45,250,1B,WDBC,50.719327,-1.876284,
2026-07-20T14:06:19.989+05:45,2026-07-20T19:06:54.000+05:45,1792,737,WDBC,50.720281,-1.884422,
2026-07-20T14:33:25.124+05:45,2026-07-20T20:17:59.000+05:45,1801,1,BLUS,50.935952,-1.406207,176
2026-07-20T14:03:34.279+05:45,2026-07-20T19:48:21.000+05:45,1685,13A,WDBC,50.79932,-1.885609,127
2026-07-20T14:35:53.342+05:45,2026-07-20T20:20:46.000+05:45,1250,504,BLUS,50.942958,-1.442748,120
2026-07-20T14:20:59.984+05:45,2026-07-20T20:05:28.000+05:45,1249,18,BLUS,50.922016,-1.442388,105
2026-07-20T14:11:35.844+05:45,2026-07-20T02:08:59.000+05:45,1782,16,WDBC,50.717903,-1.978009,
